x_soll;y_soll;x_ist;y_ist;delta
2.030032255;-1.79111604;2.048771196;-1.803300373;22.35186592
2.071617438;-1.736158496;2.088278038;-1.752412739;23.27608231
2.129832181;-1.652709464;2.142323397;-1.658798456;13.89627001
2.161024243;-1.616067574;2.156861915;-1.616071807;-4.162330121
2.192205018;-1.563154508;2.179713801;-1.557065516;-13.89627001
2.223382971;-1.50617365;2.217136657;-1.502112205;-7.450621974
2.269114962;-1.428839007;2.250377431;-1.41868857;-21.310242
2.321077747;-1.333192943;2.291931574;-1.318985295;-32.42463001
2.36887397;-1.231449421;2.34389577;-1.225373128;-25.70664993
2.400046279;-1.166332975;2.379230407;-1.160252449;-21.68578697
2.420821234;-1.113430492;2.412492346;-1.107337267;-10.31977607
2.45406342;-1.032040754;2.449899681;-1.03001109;-4.632090002
2.468592061;-0.975076827;2.479000703;-0.979134038;11.17142742
2.50182578;-0.881483708;2.508070683;-0.883511255;6.565802424
2.520515339;-0.82248165;2.533000911;-0.820435055;12.65219684
2.543348882;-0.737034701;2.553754702;-0.737024119;10.4058253
2.562031385;-0.66786316;2.572440027;-0.671920371;11.17142742
2.578624259;-0.586490353;2.589032901;-0.590547565;11.17142742
2.597289831;-0.492912049;2.601452159;-0.492907816;4.162330121
2.611791663;-0.397304081;2.618036566;-0.399331629;6.565802424
2.624213743;-0.303732127;2.630457235;-0.303725777;6.243495182
2.630421961;-0.252878356;2.634584289;-0.252874123;4.162330121
2.634550426;-0.204060598;2.630386687;-0.202030934;4.632090002
2.638645028;-0.106429315;2.642807356;-0.106425082;4.162330121
2.642741041;-0.010831929;2.65314545;-0.00878745;10.60337779
2.640589329;0.090860798;2.655158888;0.088841716;14.70879793
2.640521603;0.188487847;2.657170915;0.188504779;16.64932048
2.630049468;0.284070418;2.650859697;0.286125479;20.91145387
2.625840579;0.351184782;2.638328973;0.349163584;12.65089912
2.617459484;0.432532191;2.617460895;0.430498294;2.03389736
2.609100965;0.48133725;2.604938637;0.481333017;-4.162330121
2.594466502;0.576915588;2.58822301;0.576909239;-6.243495182
2.573587137;0.674521473;2.571505973;0.674519357;-2.081165061
2.550626607;0.772125242;2.548545443;0.772123126;-2.081165061
2.521416941;0.877858249;2.523496694;0.879894263;2.910450625
2.494302549;0.963254404;2.504708369;0.963264986;10.4058253
2.463023007;1.05271412;2.496314576;1.062917467;34.82006406
2.431747698;1.136072145;2.498326603;1.16258053;71.66201985
2.390052459;1.239758557;2.491999865;1.282574096;110.5732511
