Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
03_03_P1;471.065457;6499.065557;-112.1445654;2808;17308;1065;137894;194456;33460547;1403;7446
03_03_P2;494.99975;6717.598744;-205.1123622;2808;17308;3450;137888;194429;33460556;1406;7448
03_03_P3;528.7843351;7060.234066;-350.4567974;2808;17308;7191;137870;194433;33460562;1405;7448
03_03_P4;471.908349;7837.089768;-429.2727249;2808;17301;7190;138013;194441;33483318;1405;7452
03_03_P5;83.04280345;7872.314459;-432.6174856;2622;17302;7189;138028;191184;33483320;1406;7452
03_03_P6;119.6078055;7084.470623;-351.3928202;2621;17301;7134;137892;191581;33460427;1406;7448
03_03_P7;116.9383451;6951.705598;-294.8495335;2621;17302;5691;137892;191580;33460430;1406;7448
03_03_P8;108.0636302;6517.088586;-110.7370929;2621;17302;964;137905;191580;33460437;1406;7450
03_03_P9;-390.6993516;6506.610256;-161.3831223;2249;17303;964;138809;181747;33460209;1406;7448
03_03_P10;-439.9326203;6859.55886;-310.9080962;2249;17302;4833;138774;181781;33460215;1405;7448
03_03_P11;-476.502824;7129.790347;-426.1465232;2249;17302;7799;138753;181788;33460220;1404;7450
03_03_P12;-478.0264666;7944.361115;-478.2154011;2249;17302;7798;138256;181813;33484195;1404;7454
03_03_P13;-1012.324169;7853.393368;-474.4751521;1971;17302;7798;138262;176649;33484196;1406;7454
03_03_P14;-1017.496883;7076.451099;-330.667244;1970;17301;7798;137015;176675;33461769;1406;7450
03_03_P15;-942.0025943;6777.813497;-200.0643766;1970;17302;4450;137020;176672;33461771;1406;7450
03_03_P16;-863.3756841;6466.279269;-63.73438808;1970;17302;959;137027;176672;33461773;1406;7450
03_03_P17;-883.5802318;6544.424866;370.2067596;1970;22212;958;142460;176679;33461773;1406;7450
03_03_P18;-988.3473886;6960.729669;244.5035625;1971;22208;5431;142450;176678;33461779;1406;7450
03_03_P19;-1052.385728;7215.319131;166.5039595;1971;22197;8162;142449;176679;33461787;1406;7450
03_03_P20;-1045.150782;8081.567911;92.58409061;1971;22197;8161;142511;176669;33487091;1406;7451
03_03_P21;-526.2019955;8175.851875;89.48085096;2252;22196;8160;142514;182327;33487091;1406;7451
03_03_P22;-515.2717582;7302.636443;164.8703692;2251;22196;8159;142441;182343;33461599;1406;7451
03_03_P23;-473.7030352;6991.008629;256.8460141;2251;22196;4883;142440;182344;33461604;1406;7451
03_03_P24;-427.2859882;6641.337013;359.8304089;2251;22196;1207;142445;182344;33461605;1406;7451
03_03_P25;487.4072592;6642.42357;360.4794565;2708;22196;1206;142423;188955;33461605;1406;7451
03_03_P26;504.0096559;6930.515862;276.6799253;2708;22196;4211;142412;188956;33461613;1407;7452
03_03_P27;521.7872271;7239.925747;185.9583645;2708;22195;7438;142412;188956;33461619;1407;7452
03_03_P28;532.7492998;7925.17652;124.9988146;2708;22196;7438;142503;188964;33481626;1406;7454
03_03_P29;1080.254438;7840.958053;128.0663302;2978;22195;7438;142498;194279;33481627;1407;7454
03_03_P30;1075.543622;7114.754614;191.5549711;2978;22195;7436;142396;194303;33460445;1407;7454
03_03_P31;1021.935115;6808.677115;282.3627187;2978;22195;4197;142397;194303;33460448;1407;7454
03_03_P32;966.6140155;6492.76114;375.9284614;2978;22195;854;142403;194303;33460449;1407;7454
03_03_P33;968.4542182;6511.154217;1045.452313;2978;30224;853;152119;194299;33460450;1407;7454
03_03_P34;1034.346131;6886.0404;1010.39157;2978;30224;4676;152112;194300;33460453;1407;7454
03_03_P35;1101.462544;7267.997732;974.6453344;2978;30224;8568;152108;194300;33460459;1407;7454
03_03_P36;1104.204873;8088.360811;873.6685662;2978;30224;8567;152171;194285;33484510;1407;7454
03_03_P37;661.3246868;8165.43333;867.2164984;2745;30224;8566;152201;189069;33484510;1407;7454
03_03_P38;640.1307737;7412.066175;961.3669299;2745;30223;8566;152155;189067;33462411;1407;7454
03_03_P39;613.9522083;7057.357206;994.3083712;2745;30223;4991;152153;189066;33462420;1407;7454
03_03_P40;583.3234804;6685.375927;1028.591411;2744;30223;1239;152157;189069;33462429;1407;7454
03_03_P41;-315.7628614;6692.805636;1029.891004;2267;30223;1239;152174;180976;33462432;1407;7454
03_03_P42;-369.2466458;7119.444957;990.2364096;2267;30223;5553;152170;180979;33462441;1407;7454
03_03_P43;-409.0474224;7436.771136;960.7982221;2267;30223;8763;152168;180981;33462449;1407;7454
03_03_P44;-384.9224514;8369.175562;843.7777124;2268;30222;8761;152226;180968;33489803;1407;7454
03_03_P45;-1000.8293;8302.286417;845.4955575;2041;30222;8760;152237;178881;33489803;1407;7454
03_03_P46;-985.2891077;7349.439417;964.404568;2041;30222;8759;152182;178898;33461861;1407;7454
03_03_P47;-884.1134728;6891.662178;1007.724475;2041;30221;4049;152181;178898;33461867;1407;7454
