Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
03_03_M1_P1;762.4910646;7805.944055;2737.559675;2927;45851;8896;165395;195544;33488951;1412;7706
03_03_M1_P1_first_stage_corrected;762.4910646;7805.944055;2736.903667;2927;45851;8896;165395;195544;33488951;1412;7706
03_03_M1_P1_second_stage_corrected;769.3298602;7816.191496;2716.021553;2927;45851;8896;165395;195544;33488951;1412;7706
03_03_M1_P2;-53.73297979;8130.539457;2804.045853;2673;45851;12483;165396;195545;33490175;1412;26
03_03_M1_P2_first_stage_corrected;-53.73297979;8130.539457;2797.421724;2673;45851;12483;165396;195545;33490175;1412;26
03_03_M1_P2_second_stage_corrected;-46.89418419;8140.786898;2776.53961;2673;45851;12483;165396;195545;33490175;1412;26
03_03_M1_P3;1390.398781;7457.552097;2550.351525;3336;45851;3944;165363;203799;33501780;1412;25
03_03_M1_P3_first_stage_corrected;1390.398781;7457.552097;2554.620266;3336;45851;3944;165363;203799;33501780;1412;25
03_03_M1_P3_second_stage_corrected;1397.237577;7467.799538;2533.738152;3336;45851;3944;165363;203799;33501780;1412;25
03_03_M1_P4;-1179.718854;8183.477616;2682.6856;2012;45847;9511;165533;180905;33501745;1411;25
03_03_M1_P4_first_stage_corrected;-1179.718854;8183.477616;2673.040892;2012;45847;9511;165533;180905;33501745;1411;25
03_03_M1_P4_second_stage_corrected;-1172.880058;8193.725057;2652.158778;2012;45847;9511;165533;180905;33501745;1411;25
03_03_M1_P5;-3082.155784;8313.410913;2844.972335;1262;45836;13543;164776;170665;33512183;1411;30
03_03_M1_P5_first_stage_corrected;-3082.155784;8313.410913;2820.885586;1262;45836;13543;164776;170665;33512183;1411;30
03_03_M1_P5_second_stage_corrected;-3075.316989;8323.658354;2800.003472;1262;45836;13543;164776;170665;33512183;1411;30
03_03_M1_P6;-2844.271975;7107.666396;2021.809518;1262;39534;9234;159654;170682;33480334;1411;14
03_03_M1_P6_first_stage_corrected;-2844.271975;7107.666396;2024.783216;1262;39534;9234;159654;170682;33480334;1411;14
03_03_M1_P6_second_stage_corrected;-2837.43318;7117.913836;2003.901102;1262;39534;9234;159654;170682;33480334;1411;14
03_03_M1_P7;-4539.100209;7239.647988;1961.549298;1262;39535;9234;159621;191464;33503036;1411;26
03_03_M1_P7_first_stage_corrected;-4539.100209;7239.647988;1945.48133;1262;39535;9234;159621;191464;33503036;1411;26
03_03_M1_P7_second_stage_corrected;-4532.261414;7249.895428;1924.599216;1262;39535;9234;159621;191464;33503036;1411;26
03_03_M1_P8;-1953.694254;8161.736483;2288.663347;1868;39534;9234;155801;184103;33499337;1411;27
03_03_M1_P8_first_stage_corrected;-1953.694254;8161.736483;2276.191701;1868;39534;9234;155801;184103;33499337;1411;27
03_03_M1_P8_second_stage_corrected;-1946.855458;8171.983924;2255.309587;1868;39534;9234;155801;184103;33499337;1411;27
03_03_M1_P9;-1275.096196;6850.651943;2207.607089;1867;39536;4020;155729;178205;33473744;1412;22
03_03_M1_P9_first_stage_corrected;-1275.096196;6850.651943;2222.133935;1867;39536;4020;155729;178205;33473744;1412;22
03_03_M1_P9_second_stage_corrected;-1268.257401;6860.899384;2201.251821;1867;39536;4020;155729;178205;33473744;1412;22
