Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
21_01_V_P1;1098.232481;7377.654837;51.549698;3092;17757;6599;133461;200567;33476227;1739;7473
21_01_V_P2;1395.939641;7503.684036;880.882397;3092;25921;6598;142404;196384;33476224;1740;7476
21_01_V_P3;756.380535;8031.89007;1177.917207;2756;27704;8445;142469;189461;33483390;1741;7476
21_01_V_P4;-2587.770213;7576.235086;883.594651;1400;27704;8314;146475;173456;33483386;1740;7476
21_01_V_P5;-2520.006151;8028.683394;2015.28999;1400;39726;8310;160036;171488;33501447;1415;7480
21_01_V_P6;-1704.662774;8538.647884;2040.927176;1782;39725;10533;160011;176444;33501462;1417;7480
21_01_V_P7;1385.865546;8667.011209;-581.801496;2963;16800;10535;136425;190433;33501491;1419;7478
21_01_V_P8;2168.437509;7938.869959;-7.712686;3336;19561;10533;136271;197811;33486031;1420;7480
21_01_V_P9;2241.094912;7185.035982;572.816978;3544;23499;3386;140984;204049;33486016;1421;7480
21_01_V_P10;2150.118458;6996.853786;2161.233984;3543;41388;3386;161563;203948;33486021;1421;7480
21_01_V_P11;-854.500323;7303.801935;2126.765949;1991;41387;2529;161717;177475;33486022;1422;7480
21_01_V_P12;53.712992;7634.928427;1031.642678;2514;30409;2531;151131;186739;33486059;1422;7478
21_01_V_P13;-2432.899077;9193.452098;-453.60704;1590;17525;12916;135433;175293;33518567;1421;7482
21_01_V_P14;-1385.91632;8250.633485;-248.493482;1829;17525;9840;134604;174959;33493589;1422;7480
21_01_V_P15;1687.985772;6888.033553;110.258895;3250;19490;1982;138707;196572;33474816;1422;7475
21_01_V_P16;977.485824;7111.772129;346.975779;2922;22699;1984;142994;191811;33474828;1423;7476
21_01_V_P17;528.65616;6968.060952;-514.082386;2806;13522;1984;133574;192997;33474838;1421;7474
21_01_V_P18;-20.967118;8850.932286;235.984857;2508;22603;2434;142494;187143;33522183;1421;7482
21_01_V_P19;-40.913447;9593.678702;1864.511691;2508;35536;11795;151791;187206;33523705;1421;34
21_01_V_P20;-2243.173188;9406.159145;1085.984815;1630;31265;12651;150007;174411;33523699;1421;32
