Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
25_02_P1;1850.352579;5667.978383;2819.717257;3695;47240;1829;165152;212336;33462425;1107;7382
25_02_P2;1806.153913;7869.295984;3018.869178;3695;48086;5457;164846;212293;33521103;1107;7738
25_02_P3;1090.169021;9254.956784;3360.576489;3135;48075;16837;164953;200397;33521090;1109;195
25_02_P4;935.209503;7558.809973;3053.20348;3135;48069;7396;164897;200427;33496735;1109;178
25_02_P5;195.206354;7718.912878;3051.030405;2696;48067;7396;164979;191127;33496735;1109;192
25_02_P6;207.345963;9088.727968;3299.262886;2696;48065;15051;165016;191115;33515612;1109;192
25_02_P7;201.575363;6225.606047;2852.338348;2696;48070;1232;164914;191161;33470025;1109;165
25_02_P8;-263.19294;6278.229041;2865.818632;2418;48075;1643;164940;186493;33470029;1110;166
25_02_P9;-405.024548;9262.299116;3060.969584;2418;48069;7981;165074;186424;33539711;1110;194
25_02_P10;-410.604694;9334.101014;1826.199929;2418;48057;7981;175591;186408;33539715;1109;7858
25_02_P11;-913.801524;7630.903022;2978.816211;2180;48056;13709;169670;183451;33473521;1110;7842
25_02_P12;-996.118372;9117.842507;3101.123912;2191;48028;16084;167652;183428;33510771;1110;7848
25_02_P13;-1901.923675;8854.311732;3095.581724;2191;48030;16083;167566;193885;33510771;1110;21
25_02_P14;-1458.757189;7711.039667;3125.213498;2015;48019;9943;165070;184104;33491690;1111;9
25_02_P15;-1232.130559;6502.881404;2946.226256;2016;48024;4275;165003;184125;33471435;1111;0
25_02_P16;-1399.971254;7056.295248;2794.848749;1768;48044;3760;166769;175219;33490577;1111;10
25_02_P17;-1600.457701;7644.323561;3011.066335;1768;48043;10336;166768;175222;33490579;1111;10
25_02_P18;-1897.645216;9793.25872;3188.97375;1768;47996;18108;166804;175193;33532960;1111;18
25_02_P19;-3399.921986;8351.984271;3222.458682;1565;47997;17497;166726;185462;33504485;1111;10
25_02_P20;-2781.481768;6875.953103;2908.789804;1565;47997;7081;166704;185468;33486499;1111;8
25_02_P21;-2415.036363;6015.857903;4039.370929;1565;62030;7078;181854;185473;33486483;1111;6
25_02_P22;-2971.648699;7448.679643;3926.339836;1565;62039;7078;181927;185428;33531412;1111;14
25_02_P23;-3272.435207;8134.010829;4516.976683;1565;62024;16635;181929;185429;33531412;1111;22
25_02_P24;-2251.779096;7924.050902;4700.304458;1565;61999;16635;180332;175554;33517507;945;14
25_02_P25;-1668.320227;5735.401547;4062.230221;1576;62032;4671;179499;175602;33478459;945;6
25_02_P26;-202.405288;7508.772317;4459.040986;2509;62046;11187;179462;187621;33507837;946;10
25_02_P27;-170.359189;6712.240327;4721.099737;2509;62024;15227;179445;187645;33475291;946;2
25_02_P28;1751.499263;6156.493856;4724.179838;3638;62027;15228;179196;210550;33475290;946;6
25_02_P29;1593.513174;8202.681321;4699.571004;3638;62038;15228;179265;210477;33535113;946;14
25_02_P30;3098.649106;8071.142355;5004.829274;3638;62027;15228;176589;196483;33535107;946;21
25_02_P31;2151.055584;4636.408591;4066.836447;4141;62072;1758;175221;218291;33474661;947;8
25_02_P32;2168.303447;6322.68169;4161.695695;4141;62082;1758;175277;218320;33523889;947;14
25_02_P33;2690.978885;5577.655258;2701.271507;4101;45783;1523;161407;218376;33479790;947;5
25_02_P34;2674.925265;7146.964152;2718.581664;4101;45789;1522;161520;218356;33525507;947;11
25_02_P35;3116.127019;8890.002535;3173.641214;3780;45772;17146;161611;208599;33525499;947;14
25_02_P36;2299.388597;6482.053051;2738.443072;3779;45763;2090;161534;208640;33491093;947;8
25_02_P37;1600.358562;6868.466308;2748.771129;3377;45763;2090;161610;199964;33491093;947;8
25_02_P38;1807.97101;7428.898562;2920.724105;3378;45764;8316;161614;199965;33491083;947;8
25_02_P39;1037.848042;9048.880101;2946.680328;3042;45765;8316;161753;195011;33531909;947;14
25_02_P40;1192.901671;9783.177156;3157.657099;3043;45748;16146;161762;195015;33531892;947;32
25_02_P41;1767.661556;6787.640209;2876.995457;3043;45745;2689;160057;181930;33485285;874;8
25_02_P42;133.641738;6596.939824;2901.314886;2710;45745;3223;159476;191775;33472811;874;8
25_02_P43;172.955501;7251.844635;3090.148344;2711;45746;10057;159476;191773;33472781;874;5
25_02_P44;-425.03546;7272.010282;3090.850708;2390;45745;10057;159521;185338;33472780;874;5
25_02_P45;-449.556974;8118.672209;3149.857;2390;45745;10057;159581;185318;33497508;873;10
25_02_P46;-1137.823462;8234.48059;3198.552544;2090;45743;12008;159617;180992;33497471;873;10
25_02_P47;-1200.781893;9627.043581;3286.886217;2091;45736;12008;159702;180944;33538129;873;14
25_02_P48;-1322.470234;6270.614805;2950.761263;1881;45734;2318;158070;178809;33469827;873;8
25_02_P49;-1731.875374;7497.09782;3367.525189;1881;45734;18324;158041;178847;33462462;873;6
25_02_P50;-2825.147733;7193.954696;3205.445865;1483;45731;18324;161095;175978;33462462;873;8188
25_02_P51;-3023.167241;8293.629327;3237.163198;1483;45718;18324;161142;175950;33495040;873;8
25_02_P52;-1506.564674;5852.739001;2703.101539;1483;45727;743;161160;164306;33466070;873;16
25_02_P53;-2794.44851;5495.398842;2727.278287;1483;45728;743;161096;190048;33466070;873;2
25_02_P54;-4175.447818;7954.993825;1636.755511;1483;45729;743;170734;189883;33547829;873;22
25_02_P55;-3661.987677;6696.825025;2665.171681;902;45725;743;162231;169645;33511243;873;10
25_02_P56;-4230.04488;7367.90137;2918.642441;901;45722;9909;162224;169577;33511239;873;10
25_02_P57;-4192.657924;6606.157425;1471.333133;900;33865;9912;152190;169749;33478723;873;2
25_02_P58;-4417.264285;9228.276179;1657.034063;901;33849;18092;149475;161944;33534429;873;10
25_02_P59;-2545.838556;6141.265098;1614.434438;1366;33849;1163;149946;174795;33468571;873;8187
25_02_P60;-2340.838221;7546.577965;1628.663085;1549;33848;1609;150024;176130;33503997;873;8
25_02_P61;-2728.053193;8415.072143;1622.289998;1549;33846;11121;150037;176130;33503984;873;8
25_02_P62;-1958.600901;8635.744756;1625.149224;1954;33846;10792;150068;184245;33503975;873;8
25_02_P63;-3616.187971;9474.629733;1689.462799;1954;33846;17909;149481;198707;33524996;873;10
25_02_P64;-1222.910466;7566.793836;1680.735402;2132;33834;9332;148893;184892;33473987;873;6
25_02_P65;-1072.012169;6651.094716;1674.815874;2132;33838;2744;148860;184896;33466123;873;2
25_02_P66;-470.797434;6717.280963;1674.705811;2382;33838;2744;148853;186447;33466123;873;2
25_02_P67;-589.095701;8325.20377;1694.352785;2382;33837;12417;148911;186518;33484929;873;6
25_02_P68;159.578187;10931.06407;1398.362792;2701;33835;17020;152044;191008;33546683;873;32
25_02_P69;693.91824;10871.43541;1399.542333;2899;33830;17021;152032;194259;33546682;873;32
25_02_P70;607.58319;7998.237448;1477.327487;2898;33830;7117;151843;194339;33491431;873;6
25_02_P71;1712.978201;8929.604376;1157.286933;3497;33832;6866;154778;206992;33531047;874;10
25_02_P72;1802.057629;7932.083453;304.19076;3496;24793;6867;145181;206975;33500665;874;6
25_02_P73;2019.501076;7390.091767;379.632174;3496;24793;11464;143275;207252;33473163;874;8184
25_02_P74;1251.583026;7685.457979;381.465286;3137;24793;11121;143332;198648;33473167;874;8184
25_02_P75;1337.603224;10790.5822;94.925974;3137;24749;17400;143690;198543;33546466;873;22
25_02_P76;899.675444;8175.584393;319.887522;3031;24748;12770;143419;198633;33481520;873;15
25_02_P77;730.959258;6844.532255;565.087511;3031;24750;2534;143374;198643;33471091;873;8182
25_02_P78;-90.155615;7008.164641;591.88962;2586;24751;2174;143412;189944;33471091;873;7794
25_02_P79;-120.478349;8259.341598;410.037626;2586;24750;8939;143505;189946;33488357;874;7798
25_02_P80;-1182.610354;8182.95061;489.573634;2145;24750;8939;142472;183984;33488357;874;7798
25_02_P81;-1282.26078;9229.229467;457.6588;2145;24750;8939;142583;183962;33518956;874;7802
25_02_P82;-2833.250129;6817.993262;639.626622;1160;24763;2299;142396;166983;33485829;874;7800
25_02_P83;-3880.597008;8993.769955;351.675846;1067;24615;11804;142525;166950;33531435;875;7808
25_02_P84;-3231.134521;6165.58902;-568.11389;1066;14901;8480;132398;167031;33460987;871;7794
25_02_P85;-2418.499585;9190.267494;-726.968205;1525;14891;8480;133737;172555;33533161;874;7524
25_02_P86;-2620.603301;9548.293296;-935.634331;1525;14875;14109;133364;172557;33530322;874;7524
25_02_P87;-774.613155;9966.852706;-922.05738;2302;14865;13954;133304;184494;33530316;873;7524
25_02_P88;-318.040897;7895.070064;-677.662074;2301;14865;11304;132442;179037;33476733;872;7506
25_02_P89;-544.425542;8510.993111;-801.631372;2523;14864;10789;134092;192330;33496512;873;7510
25_02_P90;181.398004;7299.280864;-697.760905;2709;14863;10244;133813;192424;33462116;870;7504
25_02_P91;532.711096;8738.348718;-565.424597;2876;14864;4050;134247;193496;33521113;873;7518
25_02_P92;1267.306383;8963.023676;-823.236162;3224;14863;12797;133119;201776;33511203;874;7518
25_02_P93;2189.439303;8941.819829;-834.327887;3223;14863;12799;133172;191820;33511203;874;7518
25_02_P94;2130.031132;10180.47057;-979.832229;3404;14861;17167;132500;202132;33540253;874;7524
25_02_P95;2406.757258;8450.844126;-684.773382;3628;14840;10896;132434;206911;33512341;874;7518
25_02_P96;2393.331604;7144.314253;-659.99633;3628;14840;10896;132358;206992;33474327;874;7519
25_02_P97;1041.42392;7505.023538;685.472091;3067;25988;10385;143053;198281;33465467;875;7514
25_02_P98;-486.090735;8549.947039;681.103307;2860;25988;9732;143170;206363;33501634;875;7518
25_02_P99;768.392945;8763.153735;1455.225974;2860;33438;9731;151675;191185;33501630;875;7518
25_02_P100;-2434.757897;8359.036815;1450.918621;1525;33438;9467;151714;172413;33501626;875;7518
