Messpunkte;x_TS;y_TS;z_TS;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
10_02_25;1002.114;1981.72;100.64;1.251256635;7.647545054;0.621565196;3045;25300;6266;143668;194346;33480077;1306;7494
10_02_24;1002.238;1982.251;100.692;1.142788381;7.119743778;0.681897894;3045;25313;672;144494;194343;33480060;1306;7491
10_02_23;1002.986;1982.124;100.62;0.390442439;7.228941797;0.626355837;2730;25313;672;145257;191039;33480061;1306;7491
10_02_22;1003.689;1982.1;100.707;-0.311137305;7.238426118;0.728456992;2332;25943;672;145285;183703;33480061;1306;7491
10_02_21;1004.528;1982.193;100.687;-1.152744373;7.125343437;0.72768606;1921;25944;672;145312;178212;33480061;1306;7491
10_02_19;1003.731;1982.142;101.209;-0.343232361;7.203685139;1.229337387;2321;29764;671;147182;183697;33480063;1305;7489
10_02_18;1002.881;1982.178;101.23;0.51204957;7.187115253;1.23218698;2751;29764;671;147153;190187;33480063;1305;7489
10_02_17;1002.117;1982.336;101.245;1.279630237;7.046293743;1.2338122;3131;29764;671;147122;196261;33480063;1305;7490
10_02_16;1002.152;1982.428;101.807;1.258117143;6.96166889;1.796320522;3132;36002;670;153666;196240;33480065;1305;7490
10_02_15;1002.795;1982.281;101.793;0.607800767;7.094587147;1.793284182;2771;36001;670;153710;189483;33480065;1305;7490
10_02_14;1003.676;1982.228;101.708;-0.27897894;7.12553326;1.730681399;2313;36001;671;154576;182477;33480070;1305;7490
10_02_13;1004.425;1982.317;101.69;-1.025588583;7.018743701;1.729152226;1915;36001;671;154601;176461;33480070;1304;7490
10_02_12;1004.431;1982.917;101.702;-1.018432603;6.419296995;1.755432444;1914;36002;670;154571;176463;33462605;1304;7487
10_02_11;1003.536;1982.822;101.725;-0.120519969;6.536494872;1.756411969;2437;36002;671;154554;185755;33462605;1304;7487
10_02_10;1002.887;1982.869;101.741;0.528555111;6.504748038;1.758013189;2780;36002;671;154530;191129;33462605;1304;7487
10_02_09;1002.265;1983.041;101.755;1.158195451;6.346503748;1.76203807;3175;36003;671;154485;200261;33462605;1304;7487
10_02_08;1001.977;1982.978;101.104;1.428851594;6.404807631;1.103981577;3256;30092;670;150450;200104;33462641;1304;7486
10_02_07;1002.573;1982.763;100.987;0.825896899;6.604657376;0.997317815;2833;30092;670;152157;188597;33462640;1304;7486
10_02_06;1003.56;1982.689;100.966;-0.165285798;6.656257117;0.997033831;2407;30091;671;152175;184874;33462637;1304;7486
10_02_05;1004.25;1982.731;100.951;-0.851706728;6.597993508;0.99785992;2102;30091;671;152186;182240;33462635;1304;7486
10_02_04;1004.243;1982.721;100.638;-0.851798354;6.603474418;0.687019936;2102;26020;671;146822;182243;33462630;1304;7486
10_02_03;1003.595;1982.676;100.613;-0.207276863;6.663061428;0.648500587;2360;26020;672;147470;183279;33462616;1302;7484
10_02_2;1003.115;1982.687;100.624;0.273543006;6.663220761;0.649392755;2615;26020;672;147452;187495;33462615;1303;7481
10_02_1;1002.779;1982.726;100.633;0.612047769;6.632171918;0.6509085;2796;26021;672;147440;190687;33462614;1303;7481
