x_soll;y_soll;x_ist;y_ist;delta
1.9726421;-1.905802648;2.046071116;-1.957326422;89.70239544
2.073957143;-1.845086676;2.095553731;-1.860113861;26.31024298
2.112705056;-1.784573113;2.142937797;-1.803885804;35.87476279
2.140674839;-1.730564584;2.166592605;-1.749891234;32.33032601
2.170777293;-1.659295381;2.201000727;-1.672137936;32.83880627
2.239612149;-1.516729057;2.256881353;-1.523143355;18.42196073
2.28045861;-1.415230992;2.293400431;-1.413032402;13.12724421
2.336395073;-1.305057221;2.345028124;-1.307186015;8.89164394
2.383729506;-1.214321776;2.396683736;-1.220750033;14.46148546
2.420310625;-1.147345058;2.433258651;-1.149459891;13.11959948
2.446113615;-1.086873373;2.472018972;-1.097573176;28.0280811
2.478364249;-1.009127055;2.497797145;-1.019847797;22.19395734
2.506312318;-0.940021544;2.527896496;-0.946421883;22.513132
2.529939207;-0.866616568;2.549362797;-0.870867175;19.88324637
2.549244918;-0.788912129;2.575137867;-0.790985084;25.97579578
2.564235655;-0.711221648;2.592289193;-0.715444336;28.36956328
2.589989011;-0.616242575;2.611570088;-0.620486202;21.99434575
2.600674079;-0.545036189;2.626567028;-0.547109145;25.97579578
2.613504226;-0.465195977;2.645872739;-0.469404706;32.64098708
2.624189294;-0.393989591;2.671660218;-0.398149462;47.65283988
2.630543878;-0.312013606;2.686647853;-0.31830227;56.45532143
2.639037336;-0.21709037;2.697295696;-0.221215343;58.40421168
2.645370204;-0.120017403;2.694995514;-0.122013582;49.66544111
2.651740298;-0.048824976;2.688417582;-0.048706322;36.67747542
2.65810729;0.024524162;2.677518471;0.028900403;19.89837774
2.657964595;0.123732903;2.675218289;0.128102163;17.79832562
2.65566131;0.225091375;2.677229979;0.229474595;22.00954517
2.653416965;0.285472325;2.677143121;0.289862524;24.12891047
2.62955742;0.37382073;2.670540372;0.380423479;41.51142769
2.605682365;0.472952694;2.661767728;0.4796043;56.47841862
2.590443464;0.567799154;2.648677007;0.580927875;59.69513323
2.57520146;0.664802325;2.635589389;0.680094737;62.29413968
2.562175883;0.720834952;2.631193761;0.736155283;70.69780777
2.549150305;0.77686758;2.631106903;0.796543212;84.28531529
2.531781835;0.852296654;2.628825333;0.882804702;101.7260121
2.512227958;0.947129154;2.604950278;0.981936667;99.04035263
2.499127932;1.054922863;2.572442172;1.083197424;78.57753236
2.496809137;1.167064894;2.542097757;1.180151738;47.14153771
2.501003131;1.251190612;2.516096235;1.257709605;16.44077477
