x_soll;y_soll;x_ist;y_ist;delta
2.25512288;-1.553752363;2.259370864;-1.551767198;4.688949518
2.274209211;-1.523930499;2.274209211;-1.523930499;0
2.295426581;-1.498089535;2.293303999;-1.500076813;2.907685236
2.3336077;-1.444413985;2.333604881;-1.442424593;1.989394721
2.35264893;-1.382761838;2.356899733;-1.382766066;4.250805119
2.373824017;-1.327079983;2.384453844;-1.329079946;10.81633312
2.390739845;-1.265425722;2.405626113;-1.271408699;16.04359565
2.426758918;-1.185885953;2.431015358;-1.189868966;5.829381224
2.471282415;-1.108344033;2.473413454;-1.112324933;4.515405785
2.498853439;-1.06659427;2.498853439;-1.06659427;0
2.532783754;-1.012914492;2.530663991;-1.016891163;4.506363671
2.568822559;-0.947300472;2.579460841;-0.955268614;13.29151391
2.594254087;-0.895601631;2.598502071;-0.893616467;4.688949518
2.638732483;-0.786229428;2.642980467;-0.784244263;4.688949518
2.651400327;-0.726560331;2.662030153;-0.728560294;10.81633312
2.66619921;-0.670872133;2.681079839;-0.672876325;15.01498968
2.680978361;-0.601258187;2.693725133;-0.597292086;13.34953689
2.691517985;-0.539597583;2.702147811;-0.541597546;10.81633312
2.70844227;-0.4839115;2.719074915;-0.487900856;11.35641255
2.723190414;-0.392414233;2.746572649;-0.394426882;23.46869587
2.729484872;-0.334728187;2.752867107;-0.336740835;23.46869587
2.733631378;-0.261124884;2.759136196;-0.261150254;25.50483071
2.733507349;-0.173591604;2.748379522;-0.169627618;15.39138447
2.733417147;-0.109931037;2.744044154;-0.109941608;10.6270128
2.735435432;-0.034336228;2.737563653;-0.036327735;2.914690612
2.735331136;0.039271303;2.739581939;0.039267075;4.250805118
2.728847815;0.114874569;2.741600224;0.114861884;12.75241536
2.713862889;0.190486291;2.732991503;0.190467264;19.12862303
2.6988836;0.262119228;2.7243856;0.264083251;25.57751656
2.686026895;0.335739444;2.713651476;0.339690746;27.90573978
2.675323778;0.389463618;2.705068124;0.397391591;30.78276893
2.656104962;0.453143212;2.702844063;0.467022451;48.7563006
2.639022823;0.508863122;2.700631278;0.528695739;64.72197845
2.619789912;0.58248968;2.68352095;0.604309576;67.36284644
2.604799348;0.662080187;2.657906198;0.681921261;56.69220113
2.602558375;0.743647403;2.634425303;0.753562655;33.37384223
2.602468172;0.80730797;2.613089542;0.811276185;11.33844023
