Point_Encoder;x_Encoder;y_Encoder;z_Encoder;x_TS;y_TS;z_TS;delta_x;delta_y;delta_z;Norm
10_12_G2_P1;4.061966251;6579.275698;1033.806204;-31.27698347;6578.771748;1018.811623;-35.33894972;-0.503950389;-14.99458101;38.39183237
10_12_G2_P2;1.213210135;6707.4984;1604.939772;-35.6876306;6708.907605;1588.452038;-36.90084074;1.409204983;-16.48773432;40.44135617
10_12_G2_P3;-149.9614865;6985.72378;1587.532031;-190.6868364;6985.901868;1569.205627;-40.72534994;0.178087621;-18.32640375;44.65918626
10_12_G2_P4;-152.9164106;7197.696214;1585.925451;-193.9275178;7199.785555;1561.9761;-41.01110719;2.08934099;-23.94935075;47.53785502
10_12_G2_P5;-155.8574882;7405.130988;1584.812756;-200.0065041;7407.620217;1555.909897;-44.14901589;2.489229438;-28.9028589;52.82714378
10_12_G2_P6;-158.3011812;7577.454075;1583.812101;-205.2357711;7580.471939;1550.530588;-46.93458992;3.017864075;-33.28151259;57.61616366
10_12_G2_P7;-161.3656483;7789.917885;1581.936836;-209.5595868;7795.251204;1539.297968;-48.19393854;5.333319005;-42.63886848;64.56913434
10_12_G2_P8;-163.988048;7974.854315;1580.697898;-215.0896486;7981.116578;1534.663217;-51.10160058;6.262263276;-46.03468098;69.06360385
10_12_G2_P9;-167.4018;8211.913172;1578.701573;-219.8385135;8219.064533;1531.976422;-52.43671353;7.151361013;-46.72515085;70.59738389
10_12_G2_P10;-168.4550418;8286.160561;1578.270301;-222.6494736;8292.984497;1529.539734;-54.19443181;6.82393569;-48.73056706;73.20020972
