Messpunkt;x;y;z;Raw Position
PunktG01_KalibrierstellungG0_3_2503;1150.779995;-92.07494996;1295.425351;2503
PunktG01_KalibrierstellungG0_3_2434;1134.98877;-82.01005822;1292.535899;2434
PunktG01_KalibrierstellungG0_3_2335;1112.155053;-68.52836688;1288.323889;2335
PunktG01_KalibrierstellungG0_3_2201;1080.57152;-51.87726976;1282.352891;2201
PunktG01_KalibrierstellungG0_3_2065;1047.718433;-36.78890017;1275.937633;2065
PunktG01_KalibrierstellungG0_3_1948;1019.021533;-25.34747249;1270.15789;1948
PunktG01_KalibrierstellungG0_3_1835;990.8819087;-15.66628337;1264.368993;1835
PunktG01_KalibrierstellungG0_3_1717;960.6186063;-6.825511802;1257.977756;1717
PunktG01_KalibrierstellungG0_3_1619;935.1460474;-0.602293299;1252.477707;1619
PunktG01_KalibrierstellungG0_3_1525;910.4094133;4.368885245;1247.051571;1525
PunktG01_KalibrierstellungG0_3_1394;875.1472891;9.722116736;1239.142278;1394
PunktG01_KalibrierstellungG0_3_1265;839.6125891;13.07846492;1230.992312;1265
PunktG01_KalibrierstellungG0_3_1157;809.1127812;14.34287179;1223.851414;1157
PunktG01_KalibrierstellungG0_3_1016;768.3968035;13.729923;1214.087684;1016
PunktG01_KalibrierstellungG0_3_920;739.5546482;11.67702769;1207.023163;920
PunktG01_KalibrierstellungG0_3_785;698.0654506;6.330820069;1196.684972;785
PunktG01_KalibrierstellungG0_3_665;659.0963303;-1.263672966;1186.675709;665
PunktG01_KalibrierstellungG0_3_566;625.7491692;-9.891532169;1177.940364;566
PunktG01_KalibrierstellungG0_3_511;606.374523;-15.83493318;1172.780726;511
PunktG01_KalibrierstellungG0_3_415;571.1691653;-28.43192902;1163.236;415
PunktG01_KalibrierstellungG0_3_320;533.9539644;-44.44941436;1152.888375;320
PunktG01_KalibrierstellungG0_3_2499;1150.110323;-91.62139722;1295.36435;2499
PunktG01_KalibrierstellungG0_3_2607;1174.20252;-108.2008749;1299.544105;2607
PunktG01_KalibrierstellungG0_3_2722;1199.251934;-127.1864705;1303.744174;2722
PunktG01_KalibrierstellungG0_3_2810;1218.105211;-142.7734309;1306.807896;2810
PunktG01_KalibrierstellungG0_3_2905;1238.047199;-160.5926606;1309.921877;2905
PunktG01_KalibrierstellungG0_3_3009;1259.374606;-181.320767;1313.086229;3009
PunktG01_KalibrierstellungG0_3_3116;1280.750735;-204.0853793;1316.084259;3116
PunktG01_KalibrierstellungG0_3_3227;1301.997953;-228.9979342;1318.848049;3227
PunktG01_KalibrierstellungG0_3_3327;1320.560014;-252.9015726;1321.069929;3327
PunktG01_KalibrierstellungG0_3_3416;1336.564652;-275.464568;1322.801282;3416
PunktG01_KalibrierstellungG0_3_3501;1351.145209;-297.8893271;1324.227785;3501
PunktG01_KalibrierstellungG0_3_3581;1364.429804;-320.1396133;1325.349817;3581
PunktG01_KalibrierstellungG0_3_3769;1393.324409;-376.6599868;1327.010422;3769
PunktG01_KalibrierstellungG0_3_3855;1405.142476;-404.3608357;1327.30814;3855
PunktG01_KalibrierstellungG0_3_3943;1416.593973;-434.8890923;1327.199164;3943
PunktG01_KalibrierstellungG0_3_4039;1427.618276;-469.6101593;1326.621972;4039
PunktG01_KalibrierstellungG0_3_4103;1434.132141;-493.9440669;1325.936566;4103
PunktG01_KalibrierstellungG0_3_4177;1440.853092;-523.8153453;1324.782273;4177
PunktG01_KalibrierstellungG0_3_4248;1446.221046;-553.9401934;1323.281214;4248
PunktG01_KalibrierstellungG0_3_4315;1450.182697;-583.7878797;1321.47874;4315
PunktG01_KalibrierstellungG0_3_4376;1452.722614;-612.3435714;1319.423177;4376
PunktG01_KalibrierstellungG0_3_4426;1453.951835;-637.4033771;1317.397129;4426
