Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
25_02_E_P3;794.1648864;7084.289964;153.3959537;2952;20376;3125;140044;195030;33470932;1102;7171
25_02_E_P4;817.8363642;7229.314894;100.7042969;2952;20363;4671;140049;195027;33470959;1103;7174
25_02_E_P5;576.9773816;7299.480933;95.46639897;2754;20363;4671;140073;188853;33471171;1103;7174
25_02_E_P6;-377.107764;7317.33018;85.32866593;2322;20357;4670;140205;182924;33471174;1103;7174
25_02_E_P7;-354.3041875;7094.516257;161.4435547;2322;20356;2306;140208;182927;33471165;1103;7174
25_02_E_P8;-338.5126436;6940.339474;213.9514847;2322;20356;670;140214;182928;33471163;1103;7174
25_02_E_P9;-249.0486055;6555.824902;216.2686422;2322;20356;670;140649;181181;33459822;1104;7176
25_02_E_P10;13.91838451;6571.014028;121.804108;2588;20355;669;142325;190044;33459837;1104;7176
25_02_E_P11;16.6127226;6888.95209;149.4841955;2588;20355;4272;139798;190051;33459847;1104;7176
25_02_E_P12;-20.47726498;7499.404608;107.1627279;2588;20355;4270;139878;190063;33477667;1104;7176
25_02_E_P13;-876.2510631;7699.142721;-52.709936;2144;20342;6759;140942;181655;33477677;1104;7176
25_02_E_P14;-854.1455332;7144.407357;2.080143538;2144;20342;6758;140842;181669;33461477;1104;7176
25_02_E_P15;-769.0537904;6857.271651;102.2540576;2145;20342;3658;140842;181031;33461478;1104;7176
25_02_E_P16;-724.565359;6606.560374;188.9545953;2144;20342;965;140847;181033;33461481;1104;7176
25_02_E_P17;-734.8117931;6658.774061;391.0814139;2144;23847;965;146598;181033;33461494;1104;7176
25_02_E_P18;-747.799367;7201.837757;358.6374713;2145;23847;965;145980;181028;33477559;1104;7178
25_02_E_P19;-812.6005176;7567.702898;265.9255994;2145;23847;4793;145976;181029;33477565;1104;7178
25_02_E_P20;-850.6590673;7782.270186;211.4965981;2145;23847;7038;145976;181030;33477571;1104;7178
25_02_E_P21;-412.1563443;7872.717562;199.4339299;2361;23846;7504;145961;184823;33477582;1104;7178
25_02_E_P22;-541.0929356;7614.322582;262.5344506;2332;23846;4921;145957;185678;33477595;1104;7178
25_02_E_P23;-508.5631007;7068.996529;333.8903364;2332;23846;4920;145906;185704;33461577;1104;7178
25_02_E_P24;-473.4228481;6714.740427;422.6356023;2332;23846;1248;145912;185704;33461583;1104;7178
25_02_E_P25;84.30193648;6682.795036;468.1263268;2622;23846;920;145293;190397;33461593;1105;7178
25_02_E_P26;89.78917894;6941.858248;403.5455909;2622;23845;3590;145290;190398;33461597;1105;7178
25_02_E_P27;46.90786513;7702.899735;315.4621864;2622;23845;3589;145366;190409;33483915;1105;7178
25_02_E_P28;50.13137003;7857.363203;276.6149994;2622;23845;5178;145365;190410;33483929;1105;7180
25_02_E_P29;811.4287557;7833.377644;443.4050886;2929;23845;5839;142983;194171;33483955;1104;7182
25_02_E_P30;778.2871115;7615.79992;498.5115763;2928;23845;3574;142982;194169;33483944;1104;7182
25_02_E_P31;784.2956403;7126.559959;528.1333867;2928;23845;3574;142917;194185;33469698;1104;7182
25_02_E_P32;743.9656656;6863.133453;594.7215761;2928;23845;824;142919;194185;33469705;1105;7182
25_02_E_P33;737.4721638;6836.578461;1284.880791;2928;30018;823;147478;194217;33469701;1105;7182
25_02_E_P34;786.5751858;7155.646222;1253.803657;2928;30018;4072;147469;194216;33469688;1105;7182
25_02_E_P35;777.6278393;7669.720327;1243.615369;2928;30018;4070;147520;194228;33484652;1104;7182
25_02_E_P36;838.276443;7961.531412;1213.042936;2928;30017;7041;147528;194007;33484646;1104;7189
25_02_E_P37;132.5862507;8033.817897;1212.268651;2636;30017;7040;147553;190000;33484646;1104;7184
25_02_E_P38;160.7482651;7286.76709;1227.965642;2636;30017;7039;147465;190016;33462912;1104;7184
25_02_E_P39;151.1715577;6957.709914;1260.217347;2636;30017;3743;147461;190024;33462881;1105;7184
25_02_E_P40;142.9762287;6680.711265;1286.966774;2636;30017;958;147467;190032;33462881;1105;7184
25_02_E_P41;-473.4637559;6675.472054;1285.002173;2286;30017;958;147492;183536;33462881;1105;7184
25_02_E_P42;-495.3248314;7453.452967;1268.632735;2286;30017;958;147568;183526;33485518;1105;7184
25_02_E_P43;-551.5984181;7931.75207;1222.113324;2287;30016;5798;147564;183529;33485516;1105;7184
25_02_E_P44;-590.6990968;8259.033094;1187.187474;2287;30015;9127;147563;183531;33485513;1105;7200
25_02_E_P45;-1073.582251;8203.427809;1185.679932;2099;30014;9125;147578;181467;33485513;1104;7200
25_02_E_P46;-1029.070707;7399.769132;1203.267033;2099;30014;9125;147495;181483;33462105;1105;7200
25_02_E_P47;-968.3138933;7089.715104;1234.269387;2099;30014;5955;147489;181484;33462093;1105;7200
25_02_E_P48;-928.9223044;6888.933139;1254.034337;2099;30014;3898;147490;181484;33462097;1105;7200
25_02_E_P49;-922.2577036;6848.856903;1669.069877;2099;35453;3896;155354;181503;33462217;1106;7174
25_02_E_P50;-962.2606628;7557.269845;1615.980076;2099;35452;3896;155383;181489;33482923;1105;7174
25_02_E_P51;-1020.276504;7853.171493;1626.140058;2099;35451;6913;155379;181491;33482923;1106;7174
25_02_E_P52;-1075.788714;8038.962165;1646.325028;2099;35445;10211;155376;181492;33478896;1106;7174
25_02_E_P53;-341.1122298;8097.301585;1647.336666;2424;35445;10077;155350;186635;33478896;1106;7174
25_02_E_P54;-313.5074012;7516.086255;1691.395849;2424;35444;10076;155303;186635;33461925;1106;7174
25_02_E_P55;-287.2343122;7079.074496;1676.831484;2424;35444;5693;155302;186633;33461932;1106;7174
25_02_E_P56;-265.3908283;6669.062028;1663.269588;2423;35445;1583;155306;186631;33461936;1106;7174
25_02_E_P57;360.3766496;6650.119095;1664.835883;2733;35444;1583;155289;191057;33461936;1107;7174
25_02_E_P58;342.6685051;7372.524477;1609.385633;2733;35444;1583;155351;191056;33483020;1106;7176
25_02_E_P59;362.3113661;7657.346288;1618.814811;2733;35444;4439;155350;191056;33483021;1106;7176
25_02_E_P60;375.7501762;7851.545519;1625.189361;2733;35444;6386;155351;191057;33483024;1106;7176
25_02_E_P61;788.2579919;7790.622826;1644.054865;2931;35443;6385;155122;194593;33483024;1106;7176
25_02_E_P62;804.1627416;7083.623225;1693.995435;2931;35443;6385;155048;194619;33462417;1106;7176
25_02_E_P63;777.8873101;6914.014869;1688.211876;2931;35442;4665;155048;194619;33462421;1107;7176
25_02_E_P64;734.4208185;6634.147686;1678.901167;2931;35442;1830;155050;194619;33462423;1107;7176
