Points;x;y;z
01_02_P1200;1007.521;1979.07;99.322
01_02_P1199;1007.38;1979.847;99.4
01_02_P1198;1007.262;1980.491;99.453
01_02_P1197;1007.106;1981.305;99.505
01_02_P1196;1006.972;1982.001;99.54
01_02_P1195;1006.732;1982.412;99.697
01_02_P1194;1006.843;1981.834;99.672
01_02_P1193;1006.96;1981.219;99.638
01_02_P1192;1007.151;1980.217;99.563
01_02_P1191;1007.28;1979.546;99.505
01_02_P1190;1006.984;1980.032;99.736
01_02_P1189;1006.855;1980.724;99.793
01_02_P1188;1006.716;1981.46;99.844
01_02_P1187;1006.562;1982.269;99.884
01_02_P1186;1006.449;1982.852;99.904
01_02_P1185;1006.171;1983.332;100.097
01_02_P1184;1006.297;1982.681;100.076
01_02_P1183;1006.411;1982.09;100.05
01_02_P1182;1006.578;1981.218;99.998
01_02_P1181;1006.71;1980.527;99.95
01_02_P1180;1005.932;1980.262;99.966
01_02_P1179;1005.831;1981.19;100.031
01_02_P1178;1005.761;1981.831;100.066
01_02_P1177;1005.676;1982.598;100.095
01_02_P1176;1005.616;1983.12;100.108
01_02_P1175;1005.844;1982.619;99.914
01_02_P1174;1005.909;1982.03;99.892
01_02_P1173;1005.978;1981.382;99.861
01_02_P1172;1006.077;1980.45;99.8
01_02_P1171;1006.146;1979.809;99.752
01_02_P1170;1006.34;1979.424;99.596
01_02_P1169;1006.265;1980.117;99.655
01_02_P1168;1006.188;1980.829;99.704
01_02_P1167;1006.127;1981.399;99.735
01_02_P1166;1006.032;1982.246;99.767
01_02_P1165;1006.255;1981.746;99.6
01_02_P1164;1006.322;1981.105;99.58
01_02_P1163;1006.374;1980.613;99.564
01_02_P1162;1006.457;1979.768;99.507
01_02_P1161;1006.553;1978.836;99.363
01_02_P1160;1005.946;1978.598;99.387
01_02_P1159;1005.861;1979.379;99.459
01_02_P1158;1005.79;1980.046;99.51
01_02_P1157;1005.704;1980.833;99.557
01_02_P1156;1005.627;1981.52;99.587
01_02_P1155;1005.481;1981.955;99.74
01_02_P1154;1005.544;1981.38;99.717
01_02_P1153;1005.618;1980.696;99.681
01_02_P1152;1005.716;1979.798;99.618
01_02_P1151;1005.803;1979.002;99.552
01_02_P1150;1005.637;1979.498;99.764
01_02_P1149;1005.546;1980.348;99.83
01_02_P1148;1005.473;1981.024;99.873
01_02_P1147;1005.39;1981.784;99.909
01_02_P1146;1005.315;1982.452;99.931
01_02_P1145;1005.143;1982.98;100.121
01_02_P1144;1005.227;1982.238;100.098
01_02_P1143;1005.3;1981.575;100.069
01_02_P1142;1005.385;1980.816;100.026
01_02_P1141;1005.473;1980.019;99.972
01_02_P1140;1004.285;1979.833;99.998
01_02_P1139;1004.282;1980.579;100.05
01_02_P1138;1004.279;1981.296;100.09
01_02_P1137;1004.274;1982.142;100.124
01_02_P1136;1004.268;1982.793;100.14
01_02_P1135;1004.36;1982.251;99.95
01_02_P1134;1004.362;1981.788;99.935
01_02_P1133;1004.365;1981.101;99.905
01_02_P1132;1004.369;1980.193;99.852
01_02_P1131;1004.373;1979.348;99.792
01_02_P1130;1004.462;1978.899;99.623
01_02_P1129;1004.461;1979.456;99.67
01_02_P1128;1004.457;1980.236;99.724
01_02_P1127;1004.453;1981.106;99.77
01_02_P1126;1004.448;1981.827;99.795
01_02_P1125;1004.55;1981.175;99.598
01_02_P1124;1004.688;1980.44;99.575
01_02_P1123;1005;1979.915;99.548
01_02_P1122;1005.124;1978.998;99.491
01_02_P1121;1005.217;1978.321;99.445
01_02_P1120;1005.058;1979.079;99.481
01_02_P1119;1005.037;1979.163;99.492
01_02_P1118;1004.873;1979.844;99.535
01_02_P1117;1004.682;1980.637;99.57
01_02_P1116;1004.544;1981.209;99.586
01_02_P1115;1004.564;1981.751;99.764
01_02_P1114;1004.728;1981.07;99.747
01_02_P1113;1004.9;1980.343;99.715
01_02_P1112;1005.099;1979.513;99.663
01_02_P1111;1005.241;1978.922;99.622
01_02_P1110;1005.19;1979.473;99.854
01_02_P1109;1005.019;1980.193;99.902
01_02_P1108;1004.874;1980.8;99.933
01_02_P1107;1004.681;1981.62;99.96
01_02_P1106;1004.518;1982.301;99.971
01_02_P1105;1004.475;1982.92;100.18
01_02_P1104;1004.62;1982.307;100.172
01_02_P1103;1004.795;1981.561;100.152
01_02_P1102;1004.959;1980.867;100.123
01_02_P1101;1005.153;1980.048;100.081
01_02_P1100;1004.043;1979.923;100.103
01_02_P1099;1003.983;1980.449;100.133
01_02_P1098;1003.913;1981.066;100.161
01_02_P1097;1003.798;1982.08;100.188
01_02_P1096;1003.708;1982.864;100.194
01_02_P1095;1003.686;1982.308;100.006
01_02_P1094;1003.741;1981.827;99.998
01_02_P1093;1003.825;1981.081;99.979
01_02_P1092;1003.929;1980.168;99.94
01_02_P1091;1004.019;1979.386;99.897
01_02_P1090;1004.013;1978.958;99.733
01_02_P1089;1003.953;1979.465;99.768
01_02_P1088;1003.872;1980.175;99.809
01_02_P1087;1003.756;1981.189;99.846
01_02_P1086;1003.677;1981.893;99.905
01_02_P1085;1003.647;1981.237;99.675
01_02_P1084;1003.706;1980.727;99.672
01_02_P1083;1003.788;1980.008;99.658
01_02_P1082;1003.875;1979.249;99.63
01_02_P1081;1003.965;1978.479;99.597
01_02_P1080;1000.89;1979.252;99.494
01_02_P1079;1000.907;1979.301;99.501
01_02_P1078;1001.108;1979.856;99.544
01_02_P1077;1001.377;1980.605;99.589
01_02_P1076;1001.657;1981.391;99.619
01_02_P1075;1001.748;1981.848;99.79
01_02_P1074;1001.531;1981.241;99.775
01_02_P1073;1001.608;1980.737;99.755
01_02_P1072;1001.394;1979.961;99.713
01_02_P1071;1001.137;1979.02;99.652
01_02_P1070;1003.194;1979.488;99.867
01_02_P1069;1002.557;1980.027;99.918
01_02_P1068;1002.578;1980.862;99.96
01_02_P1067;1002.597;1981.596;99.985
01_02_P1066;1002.613;1982.323;99.998
01_02_P1065;1002.723;1982.866;100.181
01_02_P1064;1002.711;1982.362;100.175
01_02_P1063;1002.698;1981.804;100.165
01_02_P1062;1002.675;1980.931;100.129
01_02_P1061;1002.651;1979.953;100.08
01_02_P1060;1001.884;1980.057;100.092
01_02_P1059;1001.938;1980.554;100.123
01_02_P1058;1002.026;1981.361;100.16
01_02_P1057;1002.123;1982.258;100.185
01_02_P1056;1002.196;1982.955;100.191
01_02_P1055;1002.049;1982.448;100.015
01_02_P1054;1001.969;1981.687;100
01_02_P1053;1001.804;1981.256;99.986
01_02_P1052;1001.686;1980.431;99.949
01_02_P1051;1001.131;1979.638;99.898
01_02_P1050;1001.012;1979.171;99.715
01_02_P1049;1001.481;1979.894;99.764
01_02_P1048;1001.557;1980.371;99.791
01_02_P1047;1001.701;1981.281;99.828
01_02_P1046;1001.804;1981.936;99.843
01_02_P1045;1001.637;1981.391;99.649
01_02_P1044;1001.553;1980.856;99.633
01_02_P1043;1001.316;1980.138;99.603
01_02_P1042;1000.837;1979.955;99.592
