Point_Encoder;x_Encoder;y_Encoder;z_Encoder;x_TS;y_TS;z_TS;delta_x;delta_y;delta_z;Norm
10_12_G0_P1;3517.225334;5477.83394;1601.071063;3483.965676;5493.885047;1594.596194;-33.25965766;16.05110696;-6.474868849;37.49355663
10_12_G0_P2;2666.308731;5895.986717;1561.631895;2632.000217;5909.565881;1551.896094;-34.30851385;13.57916411;-9.735801125;38.16089155
10_12_G0_P3;1745.891486;6230.784815;1561.934849;1710.739025;6237.32218;1549.992775;-35.15246086;6.537364715;-11.94207385;37.69676073
10_12_G0_P4;671.8558583;6474.435255;1603.909839;630.1321033;6481.072826;1594.143649;-41.723755;6.637571255;-9.766190052;43.36251321
10_12_G0_P5;-309.2249908;6501.687344;1604.57895;-346.7392431;6500.348122;1593.230715;-37.5142523;-1.339222486;-11.34823477;39.21600534
10_12_G0_P6;-1111.203113;6413.384625;1604.984015;-1145.820724;6407.936321;1594.917079;-34.61761139;-5.448304198;-10.0669361;36.46102356
10_12_G0_P7;-1959.315032;6207.024201;1605.454835;-1990.067819;6195.331565;1594.674513;-30.7527871;-11.69263629;-10.78032199;34.62177061
10_12_G0_P8;-2717.169348;5914.439893;1605.766789;-2744.257278;5899.918405;1596.753684;-27.08793016;-14.52148825;-9.013104632;32.0291373
10_12_G0_P9;-3309.649316;5604.876349;1606.694853;-3334.012711;5588.467606;1597.716946;-24.36339541;-16.40874252;-8.977907141;30.71521909
10_12_G0_P10;-4130.438521;5030.522812;1607.234592;-4150.446471;5009.377404;1598.388243;-20.0079496;-21.14540828;-8.84634936;30.42538801
10_12_G1_P1;-187.3205319;4360.706072;5256.569176;-214.7667768;4342.591225;5266.543844;-27.44624486;-18.11484693;9.974667504;34.36477889
10_12_G1_P2;-195.7922279;5000.99268;4635.174383;-228.7536528;4988.381033;4645.650223;-32.9614249;-12.61164741;10.47584011;36.81375298
10_12_G1_P3;-204.3031525;5622.886239;3815.213303;-236.3146776;5612.337681;3822.035067;-32.01152508;-10.54855824;6.8217635;34.38817058
10_12_G1_P4;-208.8854677;5925.39574;3286.546677;-242.8220116;5918.864836;3288.839272;-33.93654391;-6.530904138;2.292594769;34.63520914
10_12_G1_P5;-216.7841212;6264.142668;2493.947921;-249.1894382;6259.215809;2490.883342;-32.40531701;-4.926859274;-3.064579268;32.92066462
10_12_G1_P6;-219.6192052;6443.761802;1883.363567;-250.9118691;6441.255752;1879.080686;-31.29266386;-2.506050229;-4.282880989;31.68365776
10_12_G1_P7;-221.1697055;6539.555269;1404.919119;-252.560793;6536.821725;1398.045943;-31.39108754;-2.733544225;-6.873176137;32.2507859
10_12_G1_P8;-221.8504981;6595.757905;952.1325244;-252.883042;6592.886928;941.7887921;-31.03254393;-2.870977321;-10.34373228;32.83677954
10_12_G1_P9;-216.4865212;6620.916265;392.7715431;-247.050214;6617.015785;380.0461696;-30.56369281;-3.900480094;-12.72537346;33.33598945
10_12_G1_P10;-216.3051466;6596.076072;-168.678931;-246.0307047;6590.985158;-182.6227957;-29.72555813;-5.090913916;-13.94386471;33.22585701
