Points;x_TS;y_TS;z_TS;x_Encoder;y_Encoder;z_Encoder;delta_x;delta_y;delta_z;Norm
06_12_24_G73_P1;1791.745983;5812.556311;983.6404135;1813.859677;5814.397481;996.3299669;-22.11369428;-1.841169461;-12.68955342;25.56227974
06_12_24_G73_P2;1546.060479;5854.817425;2097.972335;1567.307143;5855.686534;2115.434665;-21.24666402;-0.869108985;-17.46233014;27.51561477
06_12_24_G73_P3;1191.304956;5613.391641;3487.503231;1214.458272;5613.934221;3500.578952;-23.15331658;-0.542579946;-13.0757216;26.59595754
06_12_24_G73_P4;49.52451376;5689.177195;3156.231481;78.97002315;5692.663112;3176.389657;-29.44550939;-3.485916289;-20.15817646;35.8544518
06_12_24_G73_P5;-1387.988894;5464.578053;2734.792961;-1360.442486;5475.838902;2753.929256;-27.54640825;-11.26084902;-19.13629595;35.38091506
06_12_24_G73_P6;-1542.91687;5123.323287;3702.821631;-1514.635746;5136.394897;3715.00607;-28.28112483;-13.07160993;-12.18443921;33.45369287
06_12_24_G73_P7;17.56590499;5570.679563;2526.643554;45.58557124;5576.59812;2544.876704;-28.01966626;-5.918556728;-18.23314993;33.94965047
06_12_24_G73_P8;541.6353437;5862.459524;2743.077556;568.8800104;5863.907596;2766.294189;-27.24466673;-1.448071615;-23.21663303;35.82430496
06_12_24_G73_P9;-1248.806016;5475.636349;436.2443227;-1226.084012;5492.483603;454.2412639;-22.72200471;-16.84725452;-17.99694124;33.52624907
06_12_24_G73_P10;-2853.451031;4546.207935;-270.2635944;-2870.01167;4521.695074;-283.0082556;16.56063877;24.5128617;12.74466122;32.21120201
06_12_24_G73_P11;-1783.814053;5225.383904;46.87877057;-1807.360872;5204.241305;32.12651378;23.54681877;21.14259808;14.75225679;34.91548666
06_12_24_G73_P12;-971.0729369;5514.286215;278.6022411;-995.4766738;5498.753695;261.4134542;24.40373693;15.53252041;17.18878691;33.64901131
06_12_24_G73_P13;171.8458742;5769.868171;574.0387536;143.0443249;5759.077746;555.4735227;28.80154931;10.79042436;18.56523094;35.92534343
06_12_24_G73_P14;1343.239782;5799.719184;855.2850128;1312.79637;5795.439888;835.5448464;30.44341147;4.279295673;19.74016634;36.5347484
06_12_24_G73_P15;2464.261106;5614.351571;1104.714846;2433.643239;5616.626778;1085.78507;30.61786711;-2.275207122;18.92977591;36.06891694
06_12_24_G73_P16;3033.558515;5435.818835;1223.697977;3002.021237;5441.184459;1205.197985;31.53727821;-5.365623329;18.49999241;36.95456061
06_12_24_G73_P17;2893.129161;5485.478578;1985.14219;2861.836006;5491.472038;1964.47742;31.29315508;-5.993459783;20.66477077;37.9765173
06_12_24_G73_P18;2333.089613;5664.674255;1806.574127;2301.307305;5667.419418;1782.158754;31.78230775;-2.745163498;24.41537291;40.17164974
06_12_24_G73_P19;1461.155481;5829.300353;1548.608615;1430.351934;5827.397517;1524.605366;30.8035479;1.90283556;24.00324945;39.09776631
06_12_24_G73_P20;675.338472;5867.044974;1320.538208;645.0818717;5860.28457;1296.832734;30.25660035;6.76040386;23.70547354;39.02709828
06_12_24_G73_P21;-260.1646374;5789.010889;1207.277867;-287.7006156;5777.924006;1185.232695;27.53597826;11.0868836;22.04517189;36.97483861
