Name;X;Y;Z
Punkt_M1_11_11_Kalibrierstellung_Nullposition;4303.141602;661.657959;-130.535278
Punkt_M5_11_11_Kalibrierstellung_Nullposition;2153.734863;1491.078247;-667.56897
Punkt_M3_11_11_Kalibrierstellung_Nullposition;4927.640625;6520.269531;-80.85907
Punkt_G01_11_11_Kalibrierstellung_Nullposition;2980.240967;1172.536133;871.791687
Punkt_G02_11_11_Kalibrierstellung_Nullposition;3149.371338;1314.043457;1308.288696
Punkt_G03_11_11_Kalibrierstellung_Nullposition;3126.135254;2032.645142;859.125
Punkt_G11_11_11_Kalibrierstellung_Nullposition;2406.361572;-79.688431;1559.60083
Punkt_G12_11_11_Kalibrierstellung_Nullposition;3111;1218.370361;1404.005981
Punkt_G13_11_11_Kalibrierstellung_Nullposition;3167.037109;1316.278687;1757.700439
Punkt_G21_11_11_Kalibrierstellung_Nullposition;1604.264038;-1417.354614;1697.924561
Punkt_G22_11_11_Kalibrierstellung_Nullposition;1604.726685;-1412.947388;1894.864136
Punkt_G23_11_11_Kalibrierstellung_Nullposition;1335.573853;-1848.866943;2006.704468
Punkt_G31_11_11_Kalibrierstellung_Nullposition;1117.319214;-2066.622314;2364.686768
Punkt_G32_11_11_Kalibrierstellung_Nullposition;1126.438477;-2144.276855;1886.101196
Punkt_G33_11_11_Kalibrierstellung_Nullposition;1253.762085;-2008.507324;1881.49646
Punkt_G41_11_11_Kalibrierstellung_Nullposition;640.09552;-2976.845215;2995.662354
Punkt_G42_11_11_Kalibrierstellung_Nullposition;750.683777;-2913.077393;2089.870117
Punkt_G43_11_11_Kalibrierstellung_Nullposition;1124.455078;-2144.948486;2022.570923
Punkt_G51_11_11_Kalibrierstellung_Nullposition;542.923035;-3207.311035;2975.970215
Punkt_G52_11_11_Kalibrierstellung_Nullposition;621.475525;-3262.759766;2808.339844
Punkt_G53_11_11_Kalibrierstellung_Nullposition;2866.544678;684.931458;2560.575439
Punkt_G61_11_11_Kalibrierstellung_Nullposition;484.423309;-3256.449463;2984.331787
Punkt_G62_11_11_Kalibrierstellung_Nullposition;345.516632;-3664.6604;2913.930908
Punkt_G63_11_11_Kalibrierstellung_Nullposition;498.007385;-3573.369629;2690.200928
Punkt_G71_11_11_Kalibrierstellung_Nullposition;179.127487;-3789.096924;2603.557617
Punkt_G72_11_11_Kalibrierstellung_Nullposition;181.188934;-3727.996094;2907.89209
Punkt_G73_11_11_Kalibrierstellung_Nullposition;136.93898;-3949.86792;2610.976074
Punkt_G81_11_11_Kalibrierstellung_Nullposition;3512.076;1568.099;858.307
Punkt_G82_11_11_Kalibrierstellung_Nullposition;3169.16;1004.535;873.335
Punkt_G83_11_11_Kalibrierstellung_Nullposition;2948.435;1911.217;858.393
