Point;x_TS;y_TS;z_TS
03_03_M_P20;1003.786;1980.851;99.466
03_03_M_P19;1001.626;1980.153;99.566
03_03_M_P18;1001.803;1981.859;99.629
03_03_M_P17;1002.972;1981.565;100.447
03_03_M_P16;1003.66;1981.887;100.518
03_03_M_P15;1006.29;1983.187;100.419
03_03_M_P14;1006.493;1981.913;100.288
03_03_M_P13;1007.055;1979.887;101.01
03_03_M_P12;1005.492;1978.984;101.124
03_03_M_P11;1003.244;1980.065;101.303
03_03_M_P10;1002.173;1981.84;101.295
03_03_M_P9;1000.645;1981.398;102.082
03_03_M_P8;1001.796;1981.813;101.721
03_03_M_P7;1003.024;1981.599;101.69
03_03_M_P6;1002.949;1980.427;101.682
03_03_M_P5;1007.716;1980.959;101.525
03_03_M_P4;1006.483;1981.283;101.611
03_03_M_P3;1006.945;1980.883;102.124
03_03_M_P2;1001.095;1980.853;102.426
03_03_M_P1;1002.431;1980.447;101.849
