Point;x_TS;y_TS;z_TS
03_03_1_P64;1002.458;1979.492;102.009
03_03_1_P63;1002.387;1979.147;102.064
03_03_1_P62;1002.318;1978.829;102.114
03_03_1_P61;1002.318;1977.794;102.053
03_03_1_P60;1002.935;1977.688;101.948
03_03_1_P59;1002.907;1978.888;102.047
03_03_1_P58;1002.931;1979.129;102.011
03_03_1_P57;1002.978;1979.618;101.934
03_03_1_P56;1003.818;1979.593;101.9
03_03_1_P55;1003.853;1979.229;101.955
03_03_1_P54;1003.888;1978.822;102.015
03_03_1_P53;1003.924;1977.84;101.933
03_03_1_P52;1004.504;1977.933;101.911
03_03_1_P51;1004.504;1978.867;102.005
03_03_1_P50;1004.441;1979.15;101.966
03_03_1_P49;1004.365;1979.456;101.932
03_03_1_P48;1004.46;1979.254;100.95
03_03_1_P47;1004.524;1978.98;100.924
03_03_1_P46;1004.57;1977.918;100.831
03_03_1_P45;1004.649;1977.548;100.789
03_03_1_P44;1003.818;1977.456;100.823
03_03_1_P43;1003.837;1978.474;100.914
03_03_1_P42;1003.804;1978.822;100.95
03_03_1_P41;1003.763;1979.235;100.987
03_03_1_P40;1002.749;1979.262;101.026
03_03_1_P39;1002.712;1978.915;100.997
03_03_1_P38;1002.677;1978.622;100.97
03_03_1_P37;1002.629;1977.616;100.884
03_03_1_P36;1002.209;1977.727;100.91
03_03_1_P35;1002.196;1978.69;100.992
03_03_1_P34;1002.27;1979.002;101.02
03_03_1_P33;1002.356;1979.362;101.048
03_03_1_P32;1002.335;1979.369;100.421
03_03_1_P31;1002.348;1978.479;100.377
03_03_1_P30;1002.271;1978.153;100.289
03_03_1_P29;1002.183;1977.799;100.191
03_03_1_P28;1002.891;1977.664;100.161
03_03_1_P27;1002.905;1978.599;100.215
03_03_1_P26;1002.936;1978.974;100.315
03_03_1_P25;1002.963;1979.332;100.408
03_03_1_P24;1003.844;1979.325;100.369
03_03_1_P23;1003.883;1978.988;100.278
03_03_1_P22;1003.929;1978.566;100.162
03_03_1_P21;1003.922;1977.563;100.103
03_03_1_P20;1004.541;1977.663;100.078
03_03_1_P19;1004.545;1978.64;100.138
03_03_1_P18;1004.47;1978.968;100.233
03_03_1_P17;1004.378;1979.352;100.339
03_03_1_P16;1004.348;1979.439;99.938
03_03_1_P15;1004.42;1979.134;99.819
03_03_1_P14;1004.502;1978.776;99.68
03_03_1_P13;1004.495;1977.651;99.599
03_03_1_P12;1003.841;1977.547;99.575
03_03_1_P11;1003.856;1978.516;99.659
03_03_1_P10;1003.843;1978.851;99.784
03_03_1_P9;1003.803;1979.234;99.928
03_03_1_P8;1003.055;1979.228;99.91
03_03_1_P7;1003.025;1978.827;99.763
03_03_1_P6;1002.998;1978.515;99.647
03_03_1_P5;1003.025;1977.663;99.559
03_03_1_P4;1002.192;1977.768;99.592
03_03_1_P3;1002.217;1978.816;99.694
03_03_1_P2;1002.302;1979.216;99.844
03_03_1_P1;1002.366;1979.516;99.953
