Points;x_TS;y_TS;z_TS
21_01_V_P20;1005.563;1979.882;101.047
21_01_V_P19;1003.375;1979.763;101.879
21_01_V_P18;1003.354;1980.485;100.254
21_01_V_P17;1002.826;1982.372;99.489
21_01_V_P16;1002.393;1982.252;100.355
21_01_V_P15;1001.685;1982.489;100.132
21_01_V_P14;1004.71;1981.036;99.736
21_01_V_P13;1005.724;1980.061;99.511
21_01_V_P12;1003.317;1981.716;101.032
21_01_V_P11;1004.251;1982.045;102.113
21_01_V_P10;1001.26;1982.423;102.198
21_01_V_P9;1001.135;1982.209;100.61
21_01_V_P8;1001.173;1981.438;100.038
21_01_V_P7;1001.928;1980.682;99.457
21_01_V_P6;1005.061;1980.782;102.02
21_01_V_P5;1005.885;1981.272;101.975
21_01_V_P4;1005.941;1981.702;100.83
21_01_V_P3;1002.6;1981.335;101.198
21_01_V_P2;1001.973;1981.875;100.904
21_01_V_P1;1002.257;1981.98;100.071
