Points;x_TS;y_TS;z_TS
25_02_E_P64;1002.696;1982.735;101.666
25_02_E_P63;1002.645;1982.455;101.68
25_02_E_P62;1002.611;1982.285;101.689
25_02_E_P61;1002.615;1981.577;101.653
25_02_E_P60;1003.022;1981.507;101.626
25_02_E_P59;1003.042;1981.702;101.619
25_02_E_P58;1003.07;1981.987;101.607
25_02_E_P57;1003.064;1982.712;101.645
25_02_E_P56;1003.688;1982.679;101.629
25_02_E_P55;1003.702;1982.267;101.649
25_02_E_P54;1003.714;1981.826;101.663
25_02_E_P53;1003.731;1981.243;101.628
25_02_E_P52;1004.46;1981.284;101.612
25_02_E_P51;1004.412;1981.473;101.594
25_02_E_P50;1004.365;1981.773;101.587
25_02_E_P49;1004.339;1982.484;101.626
25_02_E_P48;1004.334;1982.433;101.208
25_02_E_P47;1004.368;1982.229;101.19
25_02_E_P46;1004.417;1981.915;101.16
25_02_E_P45;1004.449;1981.11;101.155
25_02_E_P44;1003.962;1981.066;101.169
25_02_E_P43;1003.936;1981.399;101.203
25_02_E_P42;1003.896;1981.884;101.247
25_02_E_P41;1003.887;1982.662;101.245
25_02_E_P40;1003.275;1982.669;101.262
25_02_E_P39;1003.259;1982.391;101.24
25_02_E_P38;1003.237;1982.058;101.21
25_02_E_P37;1003.253;1981.311;101.209
25_02_E_P36;1002.549;1981.399;101.226
25_02_E_P35;1002.621;1981.693;101.255
25_02_E_P34;1002.62;1982.207;101.254
25_02_E_P33;1002.68;1982.528;101.278
25_02_E_P32;1002.657;1982.491;100.588
25_02_E_P31;1002.606;1982.225;100.527
25_02_E_P30;1002.604;1981.735;100.509
25_02_E_P29;1002.562;1981.515;100.456
25_02_E_P28;1003.315;1981.473;100.271
25_02_E_P27;1003.322;1981.63;100.309
25_02_E_P26;1003.293;1982.393;100.381
25_02_E_P25;1003.31;1982.655;100.44
25_02_E_P24;1003.868;1982.61;100.38
25_02_E_P23;1003.892;1982.25;100.297
25_02_E_P22;1003.915;1981.703;100.235
25_02_E_P21;1003.772;1981.444;100.176
25_02_E_P20;1004.209;1981.525;100.177
25_02_E_P19;1004.181;1981.744;100.233
25_02_E_P18;1004.13;1982.116;100.323
25_02_E_P17;1004.126;1982.66;100.343
25_02_E_P16;1004.111;1982.71;100.138
25_02_E_P15;1004.145;1982.453;100.056
25_02_E_P14;1004.219;1982.159;99.956
25_02_E_P13;1004.231;1981.604;99.914
25_02_E_P12;1003.388;1981.829;100.093
25_02_E_P11;1003.362;1982.439;100.122
25_02_E_P10;1003.373;1982.76;100.087
25_02_E_P9;1003.638;1982.771;100.174
25_02_E_P8;1003.722;1982.385;100.182
25_02_E_P7;1003.733;1982.229;100.132
25_02_E_P6;1003.747;1982.002;100.059
25_02_E_P5;1002.797;1982.041;100.09
25_02_E_P4;1002.558;1982.116;100.1
25_02_E_P3;1002.586;1982.263;100.15
