Point;X;Y;Z
18_03_K_P1;-9.82844313589999E+01;2.36349193389999E+01;6.57533965581899E+03
18_03_K_P2;-6.37342735336000E+02;4.44518574379999E+01;6.90633219846900E+03
18_03_K_P3;-1.39490093676500E+03;3.41807573370000E+01;6.95846435558800E+03
18_03_K_P4;-1.36955119445900E+03;1.59031265281999E+02;8.20838262092399E+03
18_03_K_P5;-5.00216670662000E+02;1.63113794046999E+02;8.05190468778000E+03
18_03_K_P6;5.38882724971000E+02;1.60532812129000E+02;7.79681511116099E+03
18_03_K_P7;4.36517050055000E+02;2.38912861415000E+02;8.57472708435400E+03
18_03_K_P8;-6.29845602529999E+02;2.24865708869000E+02;8.65367070645700E+03
18_03_K_P9;-1.33894602505900E+03;2.03539056405999E+02;8.61047727505799E+03
18_03_K_P10;-1.28029415367199E+03;1.00978256296200E+03;8.58507881042900E+03
18_03_K_P11;-5.87400983513000E+02;8.66243821021000E+02;7.00989501838799E+03
18_03_K_P12;4.56486434305999E+02;8.23896006682000E+02;6.32965433985500E+03
