x;y;z;qx;qy;qz;qw
-6.791000000000000227e+02;5.285000000000000000e+02;7.848600000000000364e+03;-1.199447520345401363e-01;8.897519702562192712e-02;-8.510424002450722725e-03;9.887488272847270165e-01
-6.835000000000000000e+02;5.178999999999999773e+02;7.837899999999999636e+03;-1.201657700117132604e-01;9.642184400939880773e-02;-1.526381100148785190e-02;9.879423220963003960e-01
-6.887999999999999545e+02;5.058000000000000114e+02;7.834600000000000364e+03;-1.202292830669147439e-01;1.019004080567136178e-01;-2.315901101288936337e-02;9.872309185494525519e-01
-6.946000000000000227e+02;4.931999999999999886e+02;7.833600000000000364e+03;-1.199799370260520859e-01;1.044321940226761031e-01;-3.280686800712358936e-02;9.867230822142541991e-01
-7.012000000000000455e+02;4.806000000000000227e+02;7.838199999999999818e+03;-1.201558860499828407e-01;1.052612550437869166e-01;-4.219452301755221429e-02;9.862566874102662862e-01
-7.076000000000000227e+02;4.683999999999999773e+02;7.841100000000000364e+03;-1.202591869870062447e-01;1.013709529890470806e-01;-5.170198999441371485e-02;9.861990478934432591e-01
-7.128999999999999773e+02;4.585000000000000000e+02;7.852699999999999818e+03;-1.197509149624665786e-01;9.632366696980936005e-02;-6.073817098096289530e-02;9.862516636908800205e-01
-7.172999999999999545e+02;4.505000000000000000e+02;7.864000000000000000e+03;-1.204375210063870494e-01;8.841822400468900278e-02;-6.817310300361535680e-02;9.864225510523120244e-01
-7.195000000000000000e+02;4.461000000000000227e+02;7.879100000000000364e+03;-1.213973209817377219e-01;7.817777398823941293e-02;-7.337116298896249889e-02;9.867966348515522235e-01
-7.197999999999999545e+02;4.458999999999999773e+02;7.894899999999999636e+03;-1.228779520212368581e-01;6.612282501142792424e-02;-7.519298701299552412e-02;9.873574811706438137e-01
-7.183999999999999773e+02;4.498000000000000114e+02;7.909500000000000000e+03;-1.248271139484878056e-01;5.390788697775391464e-02;-7.420886096937634457e-02;9.879297425923124765e-01
-7.147000000000000455e+02;4.571999999999999886e+02;7.926399999999999636e+03;-1.262218850081917865e-01;4.139828400268674019e-02;-7.154788400464345832e-02;9.885520310641568997e-01
-7.097000000000000455e+02;4.681999999999999886e+02;7.937300000000000182e+03;-1.277497950340923394e-01;3.035757200810146675e-02;-6.601578401761749870e-02;9.891412052639702024e-01
-7.037000000000000455e+02;4.833999999999999773e+02;7.942100000000000364e+03;-1.277656660258136012e-01;2.464293400497882466e-02;-5.696246001150861993e-02;9.898605651999901056e-01
-6.967999999999999545e+02;5.028000000000000114e+02;7.939699999999999818e+03;-1.271496640665912004e-01;2.586095001354397557e-02;-4.430354102320277487e-02;9.905560915187768822e-01
-6.897999999999999545e+02;5.238999999999999773e+02;7.930100000000000364e+03;-1.261358589800096464e-01;3.059439899515132427e-02;-2.807905399554996156e-02;9.911434278429210876e-01
-6.832999999999999545e+02;5.426000000000000227e+02;7.916800000000000182e+03;-1.255206920499166989e-01;3.801863101511913229e-02;-1.339472900532677653e-02;9.912717693942061370e-01
-6.782999999999999545e+02;5.520000000000000000e+02;7.901399999999999636e+03;-1.244101219420721688e-01;4.818556297756384360e-02;-6.926341996774958501e-03;9.910359725385540219e-01
-6.753999999999999773e+02;5.541000000000000227e+02;7.889699999999999818e+03;-1.238946790482281929e-01;5.721778602227304417e-02;-6.735987002622102759e-03;9.906214513856169690e-01
-6.737000000000000455e+02;5.512000000000000455e+02;7.878100000000000364e+03;-1.233711860031456164e-01;6.575706600167663396e-02;-8.975355000228847288e-03;9.901388800252458600e-01
-6.735000000000000000e+02;5.461000000000000227e+02;7.866500000000000000e+03;-1.231086269704434050e-01;7.461185098208678035e-02;-1.279337299692849712e-02;9.895017267624349744e-01
-6.755000000000000000e+02;5.408999999999999773e+02;7.855100000000000364e+03;-1.221802560546747796e-01;8.383687803751639633e-02;-1.482775300663531290e-02;9.888495844425029269e-01
-6.778999999999999773e+02;5.357000000000000455e+02;7.848100000000000364e+03;-1.213855840027401323e-01;9.236333800208498812e-02;-1.782648200040241188e-02;9.881380320223058789e-01
-6.812999999999999545e+02;5.273999999999999773e+02;7.843600000000000364e+03;-1.208610759349360436e-01;9.734425094759602270e-02;-2.460781898675270737e-02;9.875784284683502001e-01
-6.857999999999999545e+02;5.172999999999999545e+02;7.844199999999999818e+03;-1.213423969655675339e-01;9.950056297176543274e-02;-3.408396499032823046e-02;9.870227677199195915e-01
-6.908999999999999773e+02;5.068000000000000114e+02;7.849199999999999818e+03;-1.215313140521744745e-01;9.925281004261012063e-02;-4.479407101923049001e-02;9.865964274235548004e-01
-6.966000000000000227e+02;4.966999999999999886e+02;7.856699999999999818e+03;-1.217587690375147996e-01;9.544058002940596086e-02;-5.590296301722411793e-02;9.863775933039103938e-01
-7.026000000000000227e+02;4.885000000000000000e+02;7.867199999999999818e+03;-1.221402669390178192e-01;8.941037295535921026e-02;-6.521859496743767637e-02;9.863235145075486265e-01
-7.078999999999999773e+02;4.831999999999999886e+02;7.883600000000000364e+03;-1.223815050524346831e-01;8.090498503466397873e-02;-7.210261203089256277e-02;9.865487134226895716e-01
-7.122000000000000455e+02;4.813000000000000114e+02;7.901100000000000364e+03;-1.226904120074101684e-01;7.006752000423188687e-02;-7.539161300455345105e-02;9.870935670596178158e-01
-7.147000000000000455e+02;4.831999999999999886e+02;7.921199999999999818e+03;-1.241118950443758640e-01;5.732669402049699742e-02;-7.660303602738920137e-02;9.876446033531295354e-01
-7.147000000000000455e+02;4.888999999999999773e+02;7.943500000000000000e+03;-1.254860269690512287e-01;4.354579498926024889e-02;-7.508051998148281003e-02;9.882914227562565879e-01
-7.126000000000000227e+02;4.981000000000000227e+02;7.961600000000000364e+03;-1.270141799428487206e-01;2.957736498669137626e-02;-7.113213096799339552e-02;9.889048475550324957e-01
