Punktmessung;x;y;z
03_12_24_P1_LT;1532.716624;5410.511405;3543.741812
03_12_24_P2_LT;1339.393104;5497.036345;3494.103715
03_12_24_P3_LT;2754.943887;5078.781775;3788.946499
03_12_24_P4_LT;388.636155;5585.929813;3269.66219
03_12_24_P5_LT;629.170996;5795.104252;2246.921762
03_12_24_P6_LT;1738.285653;5683.867761;2500.031605
03_12_24_P7_LT;2942.652913;5324.57388;2753.254821
03_12_24_P8_LT;2835.757549;5476.531612;1884.367133
03_12_24_P9_LT;1804.34868;5755.6102;1660.462034
03_12_24_P10_LT;641.592912;5848.847754;1391.381771
