Point_Encoder;x_Encoder;y_Encoder;z_Encoder;x_TS;y_TS;z_TS;delta_x;delta_y;delta_z;Norm
16_12_P1;3486.285704;10482.83976;-766.7302495;3471.568199;10488.56205;-795.9475065;-14.717505;5.72229;-29.217257;33.21140764
16_12_P2;3221.697231;9301.521945;-905.980111;3199.796237;9315.268411;-906.6996693;-21.900994;13.746466;-0.7195583;25.86767509
16_12_P3;2942.041841;8529.179383;-1072.911355;2925.626627;8541.001104;-1074.348586;-16.415214;11.821721;-1.437231;20.27998941
16_12_P4;2391.061258;7634.267263;-1031.902418;2387.74592;7642.687752;-1016.577816;-3.315338;8.420489;15.324602;17.79717783
16_12_P5;2830.855665;6611.514366;-1098.895199;2829.466273;6613.545273;-1084.701834;-1.389392;2.030907;14.193365;14.40508941
16_12_P6;2600.316053;6035.578415;-947.9362653;2603.54798;6027.585222;-941.7027392;3.231927;-7.993193;6.2335261;10.63923551
16_12_P7;2519.914609;5686.058784;-978.338926;2517.238174;5677.515622;-983.4985708;-2.676435;-8.543162;-5.1596448;10.33299891
16_12_P8;2545.831556;5796.35024;-243.5173599;2541.734637;5790.469016;-248.8759128;-4.096919;-5.881224;-5.3585529;8.94916943
16_12_P9;2453.346682;6554.459477;-298.7779121;2461.838504;6551.009538;-294.7967148;8.491822;-3.449939;3.9811973;9.993150183
16_12_P10;2575.020319;7062.161939;-246.6450006;2579.453315;7064.154355;-240.6935597;4.432996;1.992416;5.9514409;7.683802684
16_12_P11;2699.698542;7525.691038;-211.4761167;2698.84598;7531.928212;-206.7228451;-0.852562;6.237174;4.7532716;7.888142202
16_12_P12;2752.652711;8051.469188;-126.8639934;2754.659389;8060.338227;-113.9989653;2.006678;8.869039;12.8650281;15.75422333
16_12_P13;3028.77471;8632.66377;36.98747384;3034.254997;8643.463635;44.3583901;5.480287;10.799865;7.37091626;14.17748369
16_12_P14;2940.557001;9371.626006;17.74151585;2939.947626;9385.852922;9.013450227;-0.609375;14.226916;-8.728065623;16.70196394
