x_soll;y_soll;x_ist;y_ist;delta
1.992884441;-1.333754915;2.022770889;-1.352478623;35.26722319
2.03580325;-1.290726128;2.078507602;-1.314536306;48.89362237
2.078727558;-1.245983522;2.117170273;-1.264670571;42.74398404
2.115234665;-1.20126841;2.151532815;-1.221678443;41.64282818
2.194710071;-1.098100135;2.21180061;-1.104882095;18.38699296
2.254840395;-1.024149276;2.239894421;-1.015644332;-17.19640083
2.284930302;-0.979461659;2.274251464;-0.974366024;-11.83228909
2.325792527;-0.910734743;2.304423854;-0.903971113;-22.41354222
2.377394078;-0.828251446;2.366704242;-0.82658345;-10.81918611
2.416139232;-0.752678416;2.407599461;-0.747573616;-9.94920412
2.457072943;-0.661671845;2.467762778;-0.66333984;10.81918611
2.495845591;-0.577529717;2.512952627;-0.579170218;17.18551479
2.513112095;-0.529469449;2.534486267;-0.53451926;21.96260016
2.541156416;-0.455656063;2.556124385;-0.457305729;15.05860197
2.567089164;-0.373282744;2.588479833;-0.373191095;21.39086472
2.588732782;-0.294355393;2.603700751;-0.296005059;15.05860197
2.603920706;-0.227452274;2.623166809;-0.229083611;19.31511651
2.621341178;-0.131405057;2.64913805;-0.134713554;27.99307406
2.632272965;-0.05766499;2.66434797;-0.060955157;32.24331145
2.643243243;0.028071815;2.671045613;0.026477138;27.84806589
2.649907894;0.105221193;2.675576696;0.10533117;25.66903767
2.652305408;0.18577988;2.67797421;0.185889857;25.66903767
2.652563856;0.266329402;2.678232658;0.266439379;25.66903767
2.650677738;0.345155939;2.67634654;0.345265917;25.66903767
2.644513486;0.423964147;2.676604987;0.425815439;32.1448557
2.634032608;0.490757288;2.663990542;0.494313235;30.16823722
2.619350582;0.581525574;2.640752248;0.585044862;21.68909168
2.602490996;0.660287958;2.623892662;0.663807246;21.68909168
2.589860053;0.723644295;2.611267218;0.728877402;22.03751628
2.572928982;0.780127024;2.594336147;0.785360131;22.03751628
2.549635699;0.853720455;2.571048363;0.860667382;22.51137414
2.519963707;0.939283128;2.543509939;0.9445254;24.12273719
2.490258723;1.014562884;2.52237222;1.023269455;33.2728276
2.460537241;1.084701181;2.514068901;1.102068498;56.27843535
2.430788265;1.14627038;2.51644442;1.175771906;90.59424297
2.401022793;1.20269812;2.518803442;1.244333856;124.9232398
