Parameter;X;Y;Z
Kreis_G01;811.674764;-643.507438;1163.700646
Kreisachse_G01;-0.230511;-0.089401;0.968954
Punkt_G01;1166.687;-101.101;1298.444
Kreis_G2;522.084772;111.246462;-125.433062
Kreisachse_G2;-0.151407;0.431191;0.889466
Punkt_G02;30.218;-1433.395;539.751
Startpunkt_G2;-1573.654816;-25.447564;-66.526452
Vektor_G2;-0.996569;-0.075427;-0.034078
Punkt_G21;-1564.114;-25.644;-66.822
Kreis_G3;273.377015;614.441728;-74.80779
Kreisachse_G3;-0.004084;-0.021705;0.999756
Punkt_G31;280.785;1044.47;-66.175
Kreis_G4;-568.621661;4.453391;160.861587
Kreisachse_G4;0.992146;0.059353;-0.110111
Punkt_G41;-434;-475.987;1110.799
Startpunkt_G5;-158.563138;668.912633;-578.405422
Vektor_G5;0.412701;0.268027;0.870539
Punkt_G51;-602.417;1313.227;274.731
Kreis_G6;97.809832;-72.162068;97.95472
Kreisachse_G6;0.016743;-0.999727;-0.016298
Punkt_G61;-22.442;-72.894;6.912
Kreis_G7;585.461847;72.226795;-122.81229
Kreisachse_G7;0.164074;0.341317;0.925517
Punkt_G71;1138.691;2317.924;-1523.386
Startpunkt_Düse;59.830911;185.700392;259.381494
Vektor_Düse;0.989469;0.143123;-0.021613
