Point_Encoder,x_Encoder,y_Encoder,z_Encoder,encoder_0,encoder_1,encoder_2,encoder_3,encoder_4,encoder_5,encoder_6,encoder_7,x_TS,y_TS,z_TS,delta_x,delta_y,delta_z,Norm
01_02_P1,-2533.876839,4364.881654,5533.285185,0.8538459337724188,0.8773411368713439,1.7299,0.9269078910798988,0.9182552806982311,0.0014079308017664,-0.2293301277889033,0.7900001057611052,-2472.8162658082056,4364.791868711336,5567.39111704681,61.06057319179445,-0.08978528866373381,34.10593204681027,69.9400905110237
01_02_P2,-2508.685765,4979.959555,5504.181171,0.8538459337724188,0.8773651053211546,1.7299,0.927219480927438,0.9181354384491776,0.6201763482903121,-0.2293301277889033,0.7999709808823618,-2456.6700760390177,4985.7795858274585,5532.756513730788,52.015688960982516,5.82003082745814,28.57534273078818,59.63266612436719
01_02_P3,-2483.562024,5619.9911,5473.848885,0.8538459337724188,0.8773171684215332,1.7299,0.9276029761244092,0.9178957539510704,1.2605444846644949,-0.2285631373949605,0.7976700097005334,-2443.281024423868,5632.551180345672,5489.660831563868,40.28099957613176,12.56008034567185,15.811946563867423,45.05920770808846
01_02_P4,-2463.49443,6125.287615,5449.408114,0.8538459337724188,0.8772692315219117,1.7299,0.92796250287157,0.917775911702017,1.76654107890911,-0.2285631373949605,0.7976700097005334,-2434.7314824190107,6143.202315302915,5449.357932185052,28.762947580989476,17.914700302914753,-0.05018181494779128,33.885781069713495
01_02_P5,-2423.246724,7180.603278,5394.918563,0.8538459337724188,0.8768377994253189,1.7299,0.9289452093138092,0.9174643218544776,2.8230386166444226,-0.2293301277889033,0.8007379712763046,-2418.846742098026,7203.169598797331,5352.002742565162,4.399981901974115,22.566320797331173,-42.91582043483777,48.686407945760386
01_02_P6,-2929.684965,6937.959353,4968.897663,0.8538459337724188,0.8768857363249404,1.189,0.9296163259085092,0.7539036203461712,2.8230386166444226,-0.230864108576789,0.8007379712763046,-2963.2267139234045,6939.4234210012655,4939.588630326625,-33.54174892340461,1.464068001265332,-29.30903267337453,44.5669363115974
01_02_P7,-2859.542441,6374.494196,4998.028101,0.8538459337724188,0.876909704774751,1.189,0.9295204521092664,0.753999494145414,2.25663835702646,-0.230864108576789,0.8084078752157329,-2879.463984923177,6381.070802585327,4989.057395606778,-19.92154392317707,6.576606585327681,-8.970705393221579,22.81651204091509
01_02_P8,-2795.275796,5852.043841,5025.848375,0.8538459337724188,0.8769336732245617,1.1891,0.9293526729605914,0.7540713994948463,1.7247495719396022,-0.2300971181828461,0.7900001057611052,-2800.5581202397707,5854.4933054624835,5031.9876185571675,-5.282324239770787,2.4494644624837747,6.139243557167902,8.4612727754912
01_02_P9,-2717.826773,5219.89846,5059.276075,0.8538459337724188,0.8770774839234261,1.1892,0.9291129884624842,0.7540953679446569,1.085548987937616,-0.2277961470010177,0.782330201821677,-2706.0701175854547,5219.321881056203,5079.771287022595,11.756655414545094,-0.5765789437973581,20.495212022595297,23.63482823432228
01_02_P10,-2597.919433,4249.772872,5111.856508,0.8538459337724188,0.8776527267188832,1.1892,0.9286575879160808,0.7534721882495784,0.107243119363823,-0.2270291566070749,0.7761942786701345,-2560.558980471228,4246.46547642692,5142.2686865487885,37.36045252877193,-3.3073955730797024,30.412178548788688,48.28708815734131
01_02_P11,-2308.064758,4012.149547,4685.690709,0.8538459337724188,0.8782998748637724,0.6214000000000001,0.9286815563658914,0.7534002829001463,0.1073804784664344,-0.2270291566070749,0.7761942786701345,-2273.465472038424,4009.74898314621,4715.251568361908,34.59928596157579,-2.4005638537901177,29.560859361907205,45.57101822519962
01_02_P12,-2375.470997,4556.66972,4657.930775,0.8538459337724188,0.8783957486630153,0.6214000000000001,0.929041083113052,0.7533283775507141,0.6601821869258722,-0.2270291566070749,0.7884661249732196,-2346.4867126115223,4555.79174822833,4688.828148322556,28.98428438847759,-0.8779717716697633,30.897373322556632,42.373426273755925
01_02_P13,-2453.132111,5186.201034,4625.60573,0.8538459337724188,0.8783717802132046,0.6214000000000001,0.92930473606097,0.7534002829001463,1.2981808787800089,-0.2277961470010177,0.7999709808823618,-2432.6808180271655,5189.404409218469,4653.920097326164,20.45129297283438,3.2033752184688637,28.314367326163847,35.07449777447911
01_02_P14,-2526.899786,5779.489006,4595.145257,0.8538459337724188,0.8783478117633938,0.6214000000000001,0.9294964836594556,0.753256472201282,1.89888657427516,-0.2285631373949605,0.8084078752157329,-2516.136786293714,5786.9800737023525,4614.671828856388,10.762999706285882,7.491067702352666,19.526571856387818,23.5211663499372
01_02_P15,-2911.945564,6843.797727,4531.228995,0.8538459337724188,0.8778444743173689,0.6215,0.9298799788564271,0.702946696048595,3.0024982842061707,-0.2293301277889033,0.8022719520641903,-2919.2659627277635,6845.358542273971,4524.4449793523245,-7.320398727763404,1.5608152739705474,-6.784015647675915,10.10184389905187
01_02_P16,-2624.824121,6608.97638,4101.089396,0.8538459337724188,0.8776766951686938,0.0547,0.9302155371537772,0.7029706644984057,3.002395264879212,-0.2300971181828461,0.8015049616702475,-2633.916525399286,6607.834716448451,4109.482172848288,-9.092404399285897,-1.1416635515488451,8.392776848288122,12.426339632017537
01_02_P17,-2518.502765,6006.141775,4133.804927,0.8538459337724188,0.8777965374177474,0.0547,0.9301676002541556,0.7030186013980272,2.3887778137385927,-0.2300971181828461,0.7976700097005334,-2521.2882448591927,6008.041397445368,4154.212977687792,-2.785479859192492,1.8996224453676405,20.40805068779173,20.684680233360826
01_02_P18,-2394.972295,5306.173221,4172.750664,0.8538459337724188,0.8781320957150974,0.0546,0.9299518842058592,0.7030665382976486,1.6754719938777751,-0.2293301277889033,0.7876991345792768,-2389.2846642918357,5307.721987471723,4202.563559191049,5.687630708164306,1.5487664717229563,29.812895191048483,30.39007305566784
01_02_P19,-2270.351758,4588.366392,4212.64895,0.8538459337724188,0.8787073385105545,0.0546,0.929712199707752,0.7024673270523808,0.9461981783383864,-0.2270291566070749,0.782330201821677,-2255.975729828606,4588.295335805469,4244.265128278954,14.376028171393955,-0.07105619453068357,31.616178278954067,34.73122462473935
01_02_P20,-2120.697403,3738.536823,4258.578855,0.8538459337724188,0.8790189283580938,0.0546,0.9292328307115378,0.7020119265059772,0.0816599865024563,-0.2270291566070749,0.7761942786701345,-2097.666891766835,3736.3524326049173,4284.1098453441755,23.03051123316527,-2.1843903950825734,25.530990344175734,34.452974864494294
01_02_P21,-1712.747386,3989.251771,4256.88047,0.7175740699380091,0.8792106759565795,0.0546,0.9291129884624842,0.6434809720682158,0.0816599865024563,-0.2270291566070749,0.7761942786701345,-1689.167693721629,3983.9128678104316,4282.310924164221,23.579692278371112,-5.338903189568555,25.430454164221374,35.08865591909761
