Points,Encoder_X,Encoder_Y,Encoder_Z,Error_X_Before,Error_Y_Before,Error_Z_Before,Transformed_Encoder_X,Transformed_Encoder_Y,Transformed_Encoder_Z,Error_X_After,Error_Y_After,Error_Z_After,Norm_Error_Before,Norm_Error_After
10_12_G0_P1,3517.225334,5477.83394,1601.071063,-33.2596580000004,16.05110699999932,-6.474869000000126,3486.605885260486,5498.293510458468,1585.477256648043,-2.6402092604862446,-4.40846345846785,9.118937351956902,37.49355697676042,10.467104348038113
10_12_G0_P2,2666.308731,5895.986717,1561.631895,-34.30851400000029,13.579164000000674,-9.735801000000038,2633.2248329992763,5911.476162001473,1546.9138769745182,-1.224615999276466,-1.9102810014728675,4.982217025481759,38.16089161613931,5.474609058122086
10_12_G0_P3,1745.891486,6230.784815,1561.934849,-35.1524609999999,6.537365000000136,-11.942074000000048,1710.8638446390585,6240.87948164722,1548.1068801004114,-0.12481963905838711,-3.5573016472199015,1.885894899588493,37.69676096060798,4.0282222535384
10_12_G0_P4,671.8558583,6474.435255,1603.909839,-41.72375499999998,6.637570999999298,-9.766189999999824,635.4538004452177,6478.217201326676,1591.0488168404356,-5.321697145217627,2.855624673323291,3.0948321595644757,43.362513155906356,6.786238934504495
10_12_G0_P5,-309.2249908,6501.687344,1604.57895,-37.51425230000001,-1.3392219999996087,-11.348235000000159,-345.7689420808408,6499.724469248317,1592.5060441248381,-0.9703010191591943,0.6236527516830392,0.7246708751617916,39.216005390765744,1.362194809772433
10_12_G0_P6,-1111.203113,6413.384625,1604.984015,-34.6176109999999,-5.448303999999553,-10.066935999999941,-1147.2157871224376,6406.7276604706085,1593.5014726345223,1.3950631224377048,1.2086605293916364,1.4156063654777427,36.46102313775383,2.3261562228010426
10_12_G0_P7,-1959.315032,6207.024201,1605.454835,-30.752787000000126,-11.692635999999766,-10.78032200000007,-1994.1044133022176,6195.405048199556,1594.5415712157987,4.036594302217509,-0.07348319955599436,0.1329417842011935,34.621770424395585,4.039451306712143
10_12_G0_P8,-2717.169348,5914.439893,1605.766789,-27.087930000000142,-14.521487999999408,-9.013104999999996,-2750.232347376667,5898.388556291251,1595.3095098548072,5.975069376666852,1.5298487087493413,1.4441741451928465,32.0291371591565,6.334629435830286
10_12_G0_P9,-3309.649316,5604.876349,1606.694853,-24.363394999999855,-16.40874299999996,-8.97790699999996,-3340.88892767186,5585.3610570631945,1596.5546760789668,6.87621667186022,3.106548936805666,1.1622699210331575,30.715218978003623,7.6343875579168285
10_12_G0_P10,-4130.438521,5030.522812,1607.234592,-20.007950000000164,-21.145408000000316,-8.846348999999918,-4158.300878742012,5006.211617497039,1597.4628198046933,7.854407742011972,3.165786502961055,0.9254231953068484,30.42538797318423,8.51882229246038
